
Thu Jan  1 00:00:01 1970

Flight Log #5
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0, 0, 0]]
DATA[60, 0, [0,0,0], [-0.037110, 0.015119, 0.041692], [-0.078453, -0.137293, -0.117680], [-0.009571, -0.954736, 9.729217], [281.000000, 47.000000, -671.000000], [227, -32, 253]]
DATA[110, 0, [0,0,0], [-0.031307, 0.016341, 0.046426], [-0.078453, -0.117680, 10.140077], [0.000000, -0.945165, 9.772287], [281.000000, 52.000000, -672.000000], [230, -34, 258]]
DATA[150, 0, [0,0,0], [-0.034056, 0.009468, 0.042150], [-0.078453, -0.117680, -0.137293], [0.002393, -0.945165, 9.772287], [285.000000, 53.000000, -673.000000], [227, -34, 260]]
DATA[190, 0, [0,0,0], [-0.032376, 0.013439, 0.041692], [-0.058840, -1.137571, 10.159690], [-0.016750, -0.949951, 9.777073], [280.000000, 50.000000, -673.000000], [226, -34, 254]]
DATA[240, 0, [0,0,0], [-0.032987, -0.013744, 0.039859], [-0.078453, -0.156906, 10.179303], [0.000000, -0.959522, 9.786645], [286.000000, 52.000000, -673.000000], [229, -36, 255]]
DATA[280, 0, [0,0,0], [-0.029474, 0.012370, 0.043677], [-0.078453, -0.019613, -0.137293], [0.014357, -0.997807, 9.777073], [280.000000, 50.000000, -675.000000], [229, -32, 248]]
DATA[320, 0, [0,0,0], [-0.032681, 0.012370, -0.000916], [-0.058840, -0.137293, -0.117680], [0.016750, -0.964308, 9.762716], [282.000000, 50.000000, -672.000000], [231, -33, 254]]
DATA[370, 0, [0,0,0], [-0.032834, 0.010690, 0.043677], [-0.098067, -0.156906, -0.078453], [-0.007178, -0.933201, 9.820144], [283.000000, 49.000000, -673.000000], [226, -38, 255]]
DATA[410, 0, [0,0,0], [-0.033139, 0.011301, 0.042913], [-0.019613, -0.117680, 10.140077], [0.000000, -0.949951, 9.781859], [281.000000, 48.000000, -673.000000], [223, -29, 245]]
DATA[450, 0, [0,0,0], [-0.028863, 0.013897, 0.040928], [-0.039227, -0.117680, -0.117680], [0.002393, -0.978664, 9.781859], [284.000000, 50.000000, -672.000000], [228, -32, 254]]
