
Thu Jan  1 00:15:54 1970

Flight Log #10
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0, 0, 0]]
DATA[60, 0, [0,0,0], [-0.002902, 0.010996, 0.019395], [-9.630131, -0.156906, -0.117680], [-9.475577, 0.086142, 1.641476], [-1.000000, -222.000000, -152.000000], [482, -230, 732]]
DATA[120, 0, [0,0,0], [-0.006261, 0.009010, 0.015577], [-9.610518, -0.137293, 1.667130], [-9.521041, 0.090927, 1.622334], [-2.000000, -222.000000, -152.000000], [476, -226, 741]]
DATA[170, 0, [0,0,0], [-0.000764, 0.013897, 0.017410], [-9.669357, -0.156906, -0.078453], [-9.492328, 0.081356, 1.588834], [-2.000000, -223.000000, -157.000000], [478, -234, 742]]
DATA[220, 0, [0,0,0], [0.002749, 0.006567, 0.015882], [-9.649744, -0.098067, -0.156906], [-9.518648, 0.052642, 1.607977], [512.000000, -223.000000, -151.000000], [480, -229, 732]]
DATA[280, 0, [0,0,0], [-0.000916, 0.009316, 0.018784], [-9.728197, -0.176520, 1.647517], [-9.492328, 0.086142, 1.593620], [-4.000000, -221.000000, -150.000000], [474, -230, 739]]
DATA[330, 0, [0,0,0], [-0.002138, 0.014355, 0.016035], [-9.610518, -0.176520, 1.647517], [-9.504292, 0.081356, 1.607977], [-2.000000, -221.000000, -156.000000], [481, -231, 734]]
DATA[380, 0, [0,0,0], [-0.001527, 0.008858, 0.018479], [-9.669357, -0.137293, 1.686744], [-9.499506, 0.095713, 1.593620], [512.000000, -220.000000, -154.000000], [480, -235, 745]]
DATA[440, 0, [0,0,0], [0.000611, 0.010232, 0.018784], [-9.649744, -0.176520, -0.137293], [-9.511470, 0.071785, 1.612762], [-2.000000, -219.000000, -154.000000], [481, -230, 744]]
DATA[490, 0, [0,0,0], [0.004276, 0.017562, 0.013286], [-9.649744, -0.176520, -0.156906], [-9.499506, 0.021535, 1.584049], [-4.000000, -222.000000, -154.000000], [480, -230, 740]]
DATA[550, 0, [0,0,0], [-0.005345, 0.008552, -0.018326], [-9.708584, -0.176520, -0.156906], [-9.492328, 0.071785, 1.588834], [-2.000000, -221.000000, -156.000000], [473, -231, 740]]
DATA[610, 0, [0,0,0], [0.001985, 0.010232, 0.019395], [-9.669357, -0.117680, 1.686744], [-9.497113, 0.043071, 1.598405], [-2.000000, -219.000000, -153.000000], [479, -237, 744]]
DATA[660, 0, [0,0,0], [0.001374, 0.008552, 0.017562], [-0.117680, -0.215746, 1.686744], [-9.497113, 0.057428, 1.598405], [-1.000000, -221.000000, -152.000000], [477, -230, 741]]
DATA[720, 0, [0,0,0], [0.003665, 0.012981, 0.017410], [-0.156906, -0.117680, 1.686744], [-9.525827, 0.076570, 1.593620], [-2.000000, -220.000000, -154.000000], [473, -223, 735]]
DATA[770, 0, [0,0,0], [-0.000916, 0.014661, 0.014355], [-9.590904, -0.156906, -0.117680], [-9.489935, 0.076570, 1.598405], [-2.000000, -220.000000, -156.000000], [477, -226, 742]]
DATA[820, 0, [0,0,0], [-0.002902, 0.010690, 0.015272], [-9.669357, -0.098067, -0.117680], [-9.506684, 0.076570, 1.607977], [512.000000, -220.000000, -154.000000], [475, -228, 740]]
DATA[880, 0, [0,0,0], [-0.001833, 0.010079, 0.018937], [-9.728197, -0.117680, -0.078453], [-9.492328, 0.043071, 1.598405], [-3.000000, -221.000000, -151.000000], [472, -236, 741]]
DATA[930, 0, [0,0,0], [0.000916, 0.013439, 0.016341], [-9.669357, -0.176520, 1.608291], [-9.482756, 0.086142, 1.584049], [-4.000000, -222.000000, -156.000000], [480, -229, 736]]
DATA[980, 0, [0,0,0], [0.003971, 0.011759, 0.017410], [-0.019613, -0.176520, -0.156906], [-9.509077, 0.062213, 1.588834], [-2.000000, -224.000000, -154.000000], [479, -232, 741]]
DATA[1040, 0, [0,0,0], [-0.003818, 0.008858, 0.018631], [-9.688971, -0.176520, -0.117680], [-9.485149, 0.057428, 1.612762], [513.000000, -216.000000, -150.000000], [476, -230, 736]]
DATA[1090, 0, [0,0,0], [-0.001833, 0.014050, 0.018631], [-9.630131, -0.176520, -0.156906], [-9.518648, 0.043071, 1.593620], [-3.000000, -225.000000, -148.000000], [469, -235, 740]]
DATA[1150, 0, [0,0,0], [0.002596, 0.001527, -0.012065], [-9.610518, -0.117680, 1.686744], [-9.528220, 0.090927, 1.607977], [-3.000000, -218.000000, -156.000000], [476, -231, 736]]
DATA[1210, 0, [0,0,0], [0.000458, 0.012217, -0.018173], [-9.649744, -0.137293, -0.137293], [-9.516255, 0.043071, 1.603191], [-3.000000, -221.000000, -155.000000], [473, -229, 739]]
DATA[1260, 0, [0,0,0], [-0.000458, 0.014050, -0.019395], [-9.630131, -0.215746, -0.137293], [-9.511470, 0.057428, 1.598405], [-6.000000, -224.000000, -152.000000], [473, -241, 741]]
DATA[1310, 0, [0,0,0], [-0.004123, 0.016952, 0.015730], [-9.669357, -0.215746, -0.098067], [-9.501899, 0.071785, 1.603191], [-2.000000, -222.000000, -154.000000], [474, -232, 731]]
DATA[1370, 0, [0,0,0], [-0.004581, 0.014050, -0.015119], [-9.728197, -0.176520, -0.137293], [-9.506684, 0.071785, 1.617548], [-3.000000, -222.000000, -157.000000], [474, -235, 733]]
DATA[1420, 0, [0,0,0], [-0.009010, 0.010232, 0.018631], [-9.649744, -0.176520, -0.137293], [-9.485149, 0.052642, 1.617548], [513.000000, -220.000000, -149.000000], [477, -234, 736]]
DATA[1470, 0, [0,0,0], [-0.002443, 0.011606, -0.015882], [-0.039227, -0.176520, 1.706357], [-9.506684, 0.086142, 1.607977], [-4.000000, -222.000000, -152.000000], [481, -233, 731]]
