
Thu Jan  1 00:00:01 1970

Flight Log #2
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0,0,[0,0,0],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[0,0,0]]
DATA[70,0,[0,0,0],[-0.037110,0.016035,0.040317],[-0.137293,0.411879,-0.156906],[0.370888,-0.112463,9.815358],[-0.038182,-0.092727,-0.029592],[-90,190,331]]
DATA[110,0,[0,0,0],[-0.039095,0.016341,0.042302],[-0.235360,0.451106,10.179303],[0.378066,-0.117248,9.810573],[-0.040000,-0.100909,-0.024490],[-95,194,339]]
DATA[150,0,[0,0,0],[-0.038332,0.016341,0.048717],[-0.235360,-0.156906,10.081236],[0.351745,-0.126820,9.801002],[-0.039091,-0.095455,-0.030612],[-88,191,326]]
DATA[190,0,[0,0,0],[-0.034056,0.014203,0.045509],[-0.215746,0.431493,10.179303],[0.380459,-0.136391,9.805787],[-0.037273,-0.100909,-0.025510],[-92,189,321]]
DATA[230,0,[0,0,0],[-0.003054,0.011606,0.044440],[-0.117680,0.411879,10.140077],[0.366102,-0.136391,9.839287],[-0.041818,-0.090909,-0.027551],[-87,189,331]]
DATA[270,0,[0,0,0],[-0.004123,0.012981,0.045357],[-0.156906,-0.098067,10.179303],[0.358923,-0.112463,9.781859],[-0.036364,-0.099091,-0.025510],[-89,194,324]]
DATA[310,0,[0,0,0],[-0.037263,0.014661,0.049480],[-0.196133,0.392266,-0.137293],[0.349352,-0.122034,9.829716],[-0.040000,-0.091818,-0.026531],[-92,193,322]]
DATA[360,0,[0,0,0],[-0.002138,0.017104,0.042761],[-0.274586,-0.156906,10.159690],[0.351745,-0.107677,9.839287],[-0.039091,-0.099091,-0.025510],[-88,196,335]]
DATA[390,0,[0,0,0],[-0.037263,0.015119,0.042302],[-0.176520,0.392266,10.179303],[0.385244,-0.126820,9.820144],[-0.041818,-0.090909,-0.027551],[-92,187,330]]
DATA[430,0,[0,0,0],[-0.008399,0.015119,0.047800],[-0.235360,0.451106,10.140077],[0.385244,-0.117248,9.815358],[-0.037273,-0.099091,-0.027551],[-90,190,335]]
DATA[480,0,[0,0,0],[-0.038943,0.014050,0.046578],[-0.156906,0.411879,-0.078453],[0.361316,-0.150748,9.810573],[-0.040000,-0.093636,-0.026531],[-89,189,336]]
DATA[520,0,[0,0,0],[-0.001374,0.013439,0.040775],[-0.137293,0.411879,10.140077],[0.399601,-0.136391,9.839287],[-0.038182,-0.095455,-0.028571],[-89,192,334]]
