
Thu Jan  1 00:14:41 1970

Flight Log #18
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0, 0, 0]]
DATA[190, 0, [0,0,0], [-0.023976, 0.012065, -0.006414], [-28.000000, -12.000000, -4.000000], [0.021535, -0.155533, 9.805787], [0.010000, -0.066364, -0.480612], [-307, -40, 368]]
DATA[380, 0, [0,0,0], [-0.021228, 0.012217, -0.006567], [-28.000000, -12.000000, -4.000000], [0.019143, -0.117248, 9.824930], [0.014545, -0.074545, -0.476531], [-308, -33, 362]]
DATA[570, 0, [0,0,0], [-0.022449, 0.008247, -0.002291], [-8.000000, -16.000000, -4.000000], [0.035892, -0.117248, 9.846465], [0.018182, -0.071818, -0.479592], [-315, -51, 356]]
DATA[770, 0, [0,0,0], [-0.021380, 0.009621, -0.009927], [-8.000000, -12.000000, 1056.000000], [0.038285, -0.122034, 9.824930], [0.013636, -0.066364, -0.480612], [-306, -39, 361]]
DATA[970, 0, [0,0,0], [-0.019090, 0.018173, -0.013286], [-28.000000, -16.000000, -4.000000], [0.045464, -0.141177, 9.853643], [0.012727, -0.071818, -0.478571], [-311, -40, 367]]
DATA[1170, 0, [0,0,0], [-0.020769, 0.012370, -0.012217], [-8.000000, -16.000000, 1072.000000], [0.047856, -0.112463, 9.839287], [0.018182, -0.074545, -0.480612], [-305, -39, 357]]
DATA[1360, 0, [0,0,0], [-0.018326, 0.012370, -0.004734], [-28.000000, -16.000000, -4.000000], [0.043071, -0.112463, 9.805787], [0.017273, -0.070909, -0.479592], [-307, -45, 353]]
DATA[1550, 0, [0,0,0], [-0.021533, 0.012675, -0.008247], [-8.000000, -4.000000, -8.000000], [0.019143, -0.145962, 9.781859], [0.010000, -0.069091, -0.481633], [-312, -42, 354]]
DATA[1740, 0, [0,0,0], [-0.020922, 0.010537, -0.010079], [-28.000000, -16.000000, -4.000000], [0.055035, -0.131605, 9.848858], [0.016364, -0.070909, -0.478571], [-306, -41, 359]]
DATA[1930, 0, [0,0,0], [-0.020617, 0.012981, -0.012675], [-32.000000, -8.000000, 1060.000000], [0.026321, -0.117248, 9.834501], [0.018182, -0.073636, -0.480612], [-310, -38, 368]]
DATA[2120, 0, [0,0,0], [-0.018479, 0.006872, -0.008399], [-8.000000, -4.000000, -8.000000], [0.047856, -0.126820, 9.796216], [0.013636, -0.069091, -0.480612], [-308, -40, 367]]
DATA[2310, 0, [0,0,0], [-0.023824, 0.012217, -0.010232], [-32.000000, -4.000000, 1060.000000], [0.040678, -0.155533, 9.815358], [0.013636, -0.066364, -0.479592], [-314, -32, 362]]
DATA[2500, 0, [0,0,0], [-0.019853, 0.016188, -0.007025], [-28.000000, -16.000000, -8.000000], [0.004786, -0.098106, 9.777073], [0.014545, -0.072727, -0.479592], [-312, -34, 360]]
DATA[2700, 0, [0,0,0], [-0.024740, 0.013134, -0.005345], [-32.000000, -4.000000, 1076.000000], [0.031107, -0.117248, 9.810573], [0.012727, -0.069091, -0.483673], [-305, -38, 349]]
DATA[2890, 0, [0,0,0], [-0.021533, 0.012370, -0.003054], [-8.000000, -12.000000, -8.000000], [0.023928, -0.107677, 9.810573], [0.010000, -0.070909, -0.479592], [-307, -31, 363]]
DATA[3090, 0, [0,0,0], [-0.021991, 0.009316, -0.005040], [-32.000000, -12.000000, 1056.000000], [0.021535, -0.107677, 9.805787], [0.016364, -0.074545, -0.477551], [-306, -40, 367]]
DATA[3290, 0, [0,0,0], [-0.021228, 0.010232, -0.008705], [-4.000000, -16.000000, -8.000000], [0.031107, -0.088534, 9.839287], [0.017273, -0.070909, -0.477551], [-308, -40, 360]]
DATA[3490, 0, [0,0,0], [-0.015424, 0.012065, -0.004429], [-28.000000, -4.000000, -4.000000], [0.052642, -0.122034, 9.824930], [0.011818, -0.070000, -0.479592], [-309, -35, 370]]
DATA[3690, 0, [0,0,0], [-0.016799, 0.007941, -0.010232], [-8.000000, -16.000000, 1060.000000], [0.019143, -0.098106, 9.820144], [0.013636, -0.072727, -0.477551], [-299, -29, 352]]
DATA[3880, 0, [0,0,0], [-0.021838, 0.010385, -0.007025], [-28.000000, -16.000000, -8.000000], [0.064606, -0.102891, 9.757931], [0.014545, -0.070000, -0.480612], [-310, -36, 352]]
DATA[4080, 0, [0,0,0], [-0.021228, 0.013897, -0.006720], [-8.000000, -4.000000, 1056.000000], [0.040678, -0.126820, 9.801002], [0.010000, -0.070000, -0.481633], [-317, -32, 365]]
DATA[4280, 0, [0,0,0], [-0.025809, 0.014661, -0.008247], [-8.000000, -4.000000, 1060.000000], [0.033500, -0.107677, 9.853643], [0.014545, -0.076364, -0.479592], [-307, -41, 357]]
DATA[4480, 0, [0,0,0], [-0.018173, 0.009927, -0.012828], [-28.000000, -8.000000, 1056.000000], [0.043071, -0.093320, 9.810573], [0.014545, -0.074545, -0.477551], [-311, -38, 353]]
DATA[4670, 0, [0,0,0], [-0.019700, 0.016799, -0.001833], [-8.000000, -16.000000, 1060.000000], [0.026321, -0.107677, 9.848858], [0.009091, -0.069091, -0.482653], [-307, -38, 364]]
DATA[4860, 0, [0,0,0], [-0.020617, 0.016188, -0.009468], [-8.000000, -4.000000, 1060.000000], [0.045464, -0.107677, 9.805787], [0.009091, -0.068182, -0.479592], [-309, -42, 356]]
DATA[5060, 0, [0,0,0], [-0.014661, 0.014661, -0.014661], [-32.000000, -8.000000, 1060.000000], [0.033500, -0.117248, 9.791430], [0.013636, -0.073636, -0.478571], [-316, -35, 369]]
DATA[5260, 0, [0,0,0], [-0.015424, 0.013592, -0.009621], [-32.000000, -4.000000, -8.000000], [0.047856, -0.122034, 9.805787], [0.011818, -0.071818, -0.481633], [-317, -33, 360]]
DATA[5460, 0, [0,0,0], [-0.018021, 0.015272, -0.003512], [-28.000000, -8.000000, 1056.000000], [0.028714, -0.122034, 9.815358], [0.010909, -0.072727, -0.477551], [-308, -43, 356]]
DATA[5660, 0, [0,0,0], [-0.016952, 0.015119, -0.011148], [-28.000000, -16.000000, 1060.000000], [0.033500, -0.102891, 9.801002], [0.014545, -0.074545, -0.481633], [-306, -30, 367]]
DATA[5850, 0, [0,0,0], [-0.021991, 0.010385, -0.005651], [-28.000000, -4.000000, 1056.000000], [0.019143, -0.174676, 9.791430], [0.013636, -0.070909, -0.479592], [-311, -40, 354]]
DATA[6040, 0, [0,0,0], [-0.018326, 0.009774, -0.006414], [-8.000000, -16.000000, 1056.000000], [0.052642, -0.141177, 9.815358], [0.010000, -0.068182, -0.480612], [-303, -37, 359]]
DATA[6240, 0, [0,0,0], [-0.018479, 0.011148, -0.006720], [-4.000000, -4.000000, 1056.000000], [0.028714, -0.136391, 9.786645], [0.013636, -0.071818, -0.481633], [-314, -28, 355]]
DATA[6440, 0, [0,0,0], [-0.023213, 0.010079, -0.003971], [-32.000000, -16.000000, 1060.000000], [0.019143, -0.126820, 9.805787], [0.012727, -0.069091, -0.481633], [-318, -29, 357]]
