
Thu Jan  1 00:00:01 1970

Flight Log #28
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0, 0, 0]]
DATA[60, 0, [0,0,0], [-0.013134, -0.015577, -0.016188], -7, [0.098067, -0.078453, -0.137293], [0.047856, -0.208176, 9.810573], [-153.000000, -222.000000, -685.000000], [-111, -316, 160]]
DATA[120, 0, [0,0,0], [-0.010690, 0.252898, -0.016035], -7, [0.117680, -0.098067, 10.414662], [0.011964, -0.203390, 9.820144], [-151.000000, -221.000000, -683.000000], [-109, -317, 177]]
DATA[180, 0, [0,0,0], [-0.008858, 0.251982, -0.142332], -7, [0.078453, -0.117680, 10.453889], [0.007178, -0.189033, 9.824930], [-148.000000, -227.000000, -683.000000], [-116, -320, 173]]
DATA[240, 0, [0,0,0], [-0.007178, 0.248317, -0.137750], -7, [0.098067, -0.039227, 10.434276], [0.045464, -0.222533, 9.824930], [-150.000000, -226.000000, -683.000000], [-112, -316, 181]]
DATA[300, 0, [0,0,0], [-0.010232, -0.019242, -0.019395], -7, [-0.156906, -0.098067, -0.137293], [0.083749, -0.160319, 9.796216], [-153.000000, -221.000000, -684.000000], [-115, -321, 177]]
DATA[370, 0, [0,0,0], [-0.009010, -0.016646, -0.137750], -7, [0.137293, -0.019613, 10.493115], [0.033500, -0.193819, 9.815358], [-150.000000, -227.000000, -683.000000], [-113, -321, 173]]
DATA[420, 0, [0,0,0], [-0.012217, -0.018479, -0.137292], -7, [0.137293, -0.058840, 10.453889], [0.019143, -0.184247, 9.839287], [-147.000000, -224.000000, -684.000000], [-113, -321, 181]]
DATA[480, 0, [0,0,0], [-0.010232, 0.253815, -0.143095], -7, [0.039227, -0.078453, 10.493115], [0.031107, -0.222533, 9.829716], [-149.000000, -225.000000, -683.000000], [-114, -320, 175]]
DATA[540, 0, [0,0,0], [-0.010690, -0.015424, -0.137750], -7, [0.058840, -0.078453, 10.453889], [0.031107, -0.179462, 9.815358], [-151.000000, -223.000000, -684.000000], [-113, -327, 169]]
DATA[600, 0, [0,0,0], [-0.009927, -0.014661, -0.139888], -7, [0.137293, -0.098067, 10.453889], [0.014357, -0.203390, 9.801002], [-153.000000, -223.000000, -684.000000], [-113, -321, 175]]
