
Thu Jan  1 00:00:01 1970

Flight Log #31
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0, 0, 0]]
DATA[70, 0, [0,0,0], [-0.003388, 0.004938, -0.020276], 17, [-0.058840, -0.176520, -0.039227], [0.004786, -0.107677, 9.820144], [-162.000000, -208.000000, -94.000000], [-78, -189, 341]]
DATA[120, 0, [0,0,0], [-0.008274, 0.007076, -0.022567], 17, [-0.137293, -0.098067, -0.156906], [0.021535, -0.107677, 9.851251], [-158.000000, -204.000000, -95.000000], [-70, -195, 330]]
DATA[190, 0, [0,0,0], [-0.008274, 0.012879, -0.017527], 17, [-0.137293, -0.156906, 10.375436], [0.014357, -0.136391, 9.820144], [-166.000000, -203.000000, -95.000000], [-77, -199, 338]]
DATA[250, 0, [0,0,0], [-0.001402, 0.000204, -0.025315], 17, [0.019613, -0.098067, 10.179303], [-0.004786, -0.122034, 9.805787], [-167.000000, -207.000000, -98.000000], [-73, -186, 351]]
DATA[310, 0, [0,0,0], [-0.000181, 0.004785, -0.021345], 17, [-0.117680, -0.098067, -0.137293], [0.002393, -0.083749, 9.791430], [-161.000000, -208.000000, -93.000000], [-72, -195, 349]]
DATA[370, 0, [0,0,0], [-0.002471, 0.008756, -0.021650], 17, [-0.078453, -0.156906, -0.078453], [0.009571, -0.102891, 9.824930], [-160.000000, -203.000000, -96.000000], [-76, -197, 337]]
DATA[430, 0, [0,0,0], [-0.003388, 0.010436, -0.022719], 17, [-0.137293, -0.137293, -0.078453], [0.026321, -0.098106, 9.829716], [-168.000000, -203.000000, -96.000000], [-73, -200, 340]]
DATA[490, 0, [0,0,0], [-0.005067, 0.007840, -0.025315], 17, [-0.196133, -0.117680, 10.179303], [0.000000, -0.064606, 9.844072], [-165.000000, -207.000000, -94.000000], [-73, -196, 344]]
DATA[550, 0, [0,0,0], [-0.000791, 0.004938, -0.022108], 17, [-0.117680, -0.137293, -0.058840], [0.016750, -0.126820, 9.815358], [-159.000000, -202.000000, -96.000000], [-71, -197, 339]]
DATA[620, 0, [0,0,0], [0.000311, 0.009740, -0.027056], 16, [-0.117680, -0.117680, -0.078453], [0.009571, -0.083749, 9.824930], [-162.000000, -203.000000, -95.000000], [-70, -196, 338]]
DATA[680, 0, [0,0,0], [-0.000453, 0.009587, -0.022932], 16, [-0.137293, -0.176520, -0.078453], [0.021535, -0.098106, 9.848858], [-167.000000, -202.000000, -97.000000], [-74, -198, 340]]
DATA[740, 0, [0,0,0], [-0.004882, 0.005006, -0.024918], 16, [-0.058840, -0.117680, -0.019613], [0.007178, -0.126820, 9.853643], [-162.000000, -205.000000, -94.000000], [-74, -197, 338]]
DATA[800, 0, [0,0,0], [-0.007020, 0.010504, -0.026598], 16, [-0.117680, -0.137293, -0.058840], [0.007178, -0.117248, 9.829716], [-160.000000, -206.000000, -94.000000], [-72, -205, 338]]
DATA[860, 0, [0,0,0], [0.000921, 0.004700, -0.027514], 16, [-0.078453, -0.137293, -0.078453], [0.000000, -0.107677, 9.815358], [-164.000000, -205.000000, -94.000000], [-73, -197, 345]]
DATA[920, 0, [0,0,0], [-0.006409, 0.003937, -0.026292], 16, [-0.058840, -0.137293, -0.137293], [0.026321, -0.126820, 9.815358], [-168.000000, -203.000000, -96.000000], [-75, -199, 340]]
DATA[980, 0, [0,0,0], [-0.002133, 0.003937, -0.025834], 16, [-0.156906, -0.137293, -0.019613], [-0.004786, -0.083749, 9.815358], [-162.000000, -205.000000, -92.000000], [-80, -199, 335]]
DATA[1040, 0, [0,0,0], [0.003059, 0.008060, 0.008375], 16, [-0.137293, -0.215746, -0.098067], [0.011964, -0.112463, 9.844072], [-159.000000, -204.000000, -94.000000], [-81, -196, 342]]
DATA[1100, 0, [0,0,0], [-0.001675, 0.006838, -0.023696], 16, [-0.137293, -0.176520, -0.058840], [-0.002393, -0.122034, 9.848858], [-167.000000, -202.000000, -95.000000], [-74, -196, 336]]
DATA[1160, 0, [0,0,0], [-0.001064, 0.006533, -0.018198], 16, [-0.117680, -0.098067, -0.137293], [0.009571, -0.093320, 9.820144], [-166.000000, -202.000000, -99.000000], [-76, -200, 342]]
DATA[1220, 0, [0,0,0], [-0.001675, 0.005311, -0.026598], 16, [-0.137293, -0.117680, -0.019613], [0.014357, -0.088534, 9.844072], [-162.000000, -207.000000, -90.000000], [-77, -201, 340]]
DATA[1280, 0, [0,0,0], [-0.001064, 0.009893, -0.026139], 16, [-0.098067, -0.137293, -0.098067], [0.023928, -0.102891, 9.810573], [-160.000000, -205.000000, -93.000000], [-70, -192, 339]]
DATA[1340, 0, [0,0,0], [-0.008547, 0.008976, -0.018962], 16, [-0.098067, -0.176520, -0.098067], [0.007178, -0.069392, 9.834501], [-163.000000, -204.000000, -96.000000], [-72, -200, 340]]
DATA[1400, 0, [0,0,0], [-0.002591, 0.002257, -0.021863], 16, [-0.176520, -0.137293, -0.058840], [0.038285, -0.083749, 9.820144], [-168.000000, -203.000000, -94.000000], [-69, -190, 346]]
DATA[1460, 0, [0,0,0], [-0.002896, 0.016154, -0.025070], 16, [-0.098067, -0.078453, -0.078453], [0.004786, -0.098106, 9.853643], [-163.000000, -208.000000, -95.000000], [-72, -195, 350]]
DATA[1520, 0, [0,0,0], [0.002449, 0.010045, -0.025681], 16, [-0.117680, -0.019613, -0.039227], [0.021535, -0.088534, 9.839287], [-163.000000, -204.000000, -95.000000], [-70, -184, 351]]
DATA[1580, 0, [0,0,0], [-0.003202, 0.007297, -0.026139], 16, [-0.117680, -0.235360, -0.137293], [0.023928, -0.083749, 9.834501], [-166.000000, -203.000000, -98.000000], [-74, -193, 338]]
DATA[1640, 0, [0,0,0], [-0.004882, 0.008366, -0.027667], 16, [-0.039227, -0.078453, -0.039227], [0.016750, -0.093320, 9.815358], [-165.000000, -209.000000, -95.000000], [-72, -194, 338]]
