
Thu Jan  1 00:07:11 1970

Flight Log #5
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0, 0, 0]]
DATA[60, 0, [0,0,0], [-0.893390, 0.009927, -0.880868], 16, [-0.137293, -0.254973, -0.039227], [-0.031107, -0.083749, 9.824930], [-1.000000, 17.000000, -88.000000], [273, -47, 307]]
DATA[120, 0, [0,0,0], [-0.889725, 0.008858, -0.879188], 16, [-0.176520, -0.117680, -0.039227], [-0.035892, -0.083749, 9.796216], [259.000000, 17.000000, -86.000000], [281, -49, 305]]
DATA[180, 0, [0,0,0], [-0.887893, 0.011148, -0.877508], 16, [-0.117680, -0.137293, -0.098067], [-0.035892, -0.069392, 9.820144], [257.000000, 15.000000, -90.000000], [281, -50, 310]]
DATA[230, 0, [0,0,0], [-0.886213, 0.007330, -0.880562], 16, [-0.176520, -0.156906, -0.019613], [-0.026321, -0.102891, 9.844072], [-1.000000, 16.000000, -87.000000], [276, -49, 315]]
DATA[290, 0, [0,0,0], [-0.885144, 0.010843, -0.882853], 16, [-0.078453, -0.117680, -0.078453], [-0.038285, -0.078963, 9.815358], [257.000000, 19.000000, -89.000000], [280, -53, 313]]
DATA[350, 0, [0,0,0], [-0.889573, 0.010232, -0.877355], 16, [-0.156906, -0.196133, 10.140077], [-0.028714, -0.098106, 9.824930], [256.000000, 20.000000, -88.000000], [280, -51, 307]]
DATA[410, 0, [0,0,0], [-0.887282, 0.012523, -0.881937], 16, [-0.098067, -0.156906, -0.019613], [-0.009571, -0.093320, 9.848858], [-3.000000, 16.000000, -88.000000], [284, -45, 310]]
DATA[460, 0, [0,0,0], [-0.888809, 0.011148, -0.882700], 16, [-0.098067, -0.137293, -0.098067], [-0.045464, -0.102891, 9.824930], [257.000000, 14.000000, -90.000000], [269, -46, 301]]
DATA[520, 0, [0,0,0], [-0.882089, 0.012065, -0.878730], 16, [-0.098067, -0.156906, 10.355823], [-0.014357, -0.098106, 9.834501], [258.000000, 19.000000, -90.000000], [280, -48, 299]]
DATA[580, 0, [0,0,0], [-0.887740, 0.007483, -0.881173], 16, [-0.176520, -0.078453, -0.156906], [0.000000, -0.098106, 9.815358], [257.000000, 19.000000, -83.000000], [284, -43, 308]]
DATA[630, 0, [0,0,0], [-0.891558, 0.010385, -0.880410], 16, [-0.137293, -0.019613, 10.375436], [-0.016750, -0.107677, 9.810573], [-1.000000, 14.000000, -88.000000], [283, -48, 307]]
