
Thu Jan  1 00:01:54 1970

Flight Log #4
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0, 0, 0]]
DATA[60, 0, [0,0,0], [-0.014119, 0.005882, 0.007058], 13, [-0.039227, -0.137293, -0.137293], [-0.055035, -0.112463, 9.829716], [258.000000, 17.000000, -93.000000], [269, -57, 309]]
DATA[120, 0, [0,0,0], [-0.022187, 0.008272, 0.021569], 13, [-0.156906, -0.137293, -0.098067], [-0.007178, -0.088534, 9.863214], [256.000000, 19.000000, -92.000000], [263, -57, 299]]
DATA[170, 0, [0,0,0], [-0.025665, 0.009059, 0.012311], 13, [-0.137293, -0.176520, -0.098067], [-0.045464, -0.136391, 9.801002], [259.000000, 19.000000, -92.000000], [273, -55, 299]]
DATA[230, 0, [0,0,0], [-0.028674, 0.009504, 0.016795], 13, [-0.098067, -0.117680, 10.159690], [-0.047856, -0.083749, 9.791430], [257.000000, 13.000000, -93.000000], [269, -64, 292]]
DATA[290, 0, [0,0,0], [-0.030671, 0.010421, 0.027173], 13, [-0.098067, -0.176520, -0.058840], [-0.007178, -0.107677, 9.820144], [-1.000000, 19.000000, -93.000000], [261, -60, 300]]
DATA[340, 0, [0,0,0], [-0.031653, 0.008390, 0.016566], 13, [-0.137293, -0.137293, -0.078453], [-0.047856, -0.136391, 9.834501], [257.000000, 21.000000, -91.000000], [262, -59, 293]]
DATA[400, 0, [0,0,0], [-0.033372, 0.008333, 0.021564], 13, [-0.117680, -0.137293, 10.375436], [-0.031107, -0.093320, 9.810573], [260.000000, 18.000000, -90.000000], [272, -47, 302]]
DATA[460, 0, [0,0,0], [-0.031958, 0.009945, 0.030921], 13, [-0.039227, -0.196133, -0.137293], [-0.023928, -0.102891, 9.844072], [257.000000, 17.000000, -91.000000], [268, -52, 293]]
DATA[510, 0, [0,0,0], [-0.034316, 0.010401, 0.018723], 13, [-0.058840, -0.019613, -0.078453], [-0.016750, -0.102891, 9.839287], [256.000000, 16.000000, -91.000000], [276, -60, 295]]
DATA[570, 0, [0,0,0], [-0.033023, 0.011936, 0.008904], 13, [-0.117680, -0.156906, -0.098067], [-0.011964, -0.088534, 9.810573], [-1.000000, 18.000000, -94.000000], [269, -58, 295]]
