
Thu Jan  1 00:00:43 1970

Flight Log #12
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000]]
DATA[60, 0, [0,0,0], [-0.002145, -0.008616, 0.055289], 10, [-0.078453, -0.254973, 10.355823], [-0.080125, -0.211030, 9.722398], [12.000000, 317.000000, -96.000000], [0.979100, 194.116394, -532.045227]]
DATA[120, 0, [0,0,0], [-0.004436, 0.019637, 0.061551], 10, [-0.137293, -0.176520, -0.058840], [-0.060911, -0.253446, 9.750999], [7.000000, 316.000000, -93.000000], [11.749200, 193.115799, -537.151184]]
DATA[190, 0, [0,0,0], [-0.004741, 0.024982, 0.057122], 10, [-0.098067, -0.215746, 10.395049], [-0.053705, -0.187466, 9.722398], [5.000000, 319.000000, -96.000000], [4.895500, 192.115204, -533.066406]]
DATA[240, 0, [0,0,0], [-0.037728, 0.022691, 0.057427], 10, [-0.098067, -0.176520, 10.355823], [-0.053705, -0.244020, 9.741466], [7.000000, 319.000000, -96.000000], [1.958200, 192.115204, -535.108826]]
DATA[300, 0, [0,0,0], [-0.005810, 0.025898, 0.059413], 10, [-0.019613, -0.196133, -0.078453], [-0.058509, -0.196891, 9.736699], [7.000000, 317.000000, -95.000000], [5.874600, 191.114594, -539.193604]]
DATA[370, 0, [0,0,0], [-0.006421, 0.022385, 0.062773], 10, [-0.019613, -0.254973, -0.117680], [-0.077723, -0.196891, 9.722398], [8.000000, 318.000000, -93.000000], [8.811900, 192.115204, -525.918030]]
DATA[420, 0, [0,0,0], [-0.004436, 0.022538, 0.053762], 10, [-0.098067, -0.176520, -0.019613], [-0.072920, -0.244020, 9.717631], [7.000000, 321.000000, -95.000000], [8.811900, 198.118805, -514.684814]]
DATA[480, 0, [0,0,0], [-0.003672, 0.019637, 0.056511], 10, [-0.078453, -0.137293, -0.078453], [-0.046500, -0.196891, 9.736699], [13.000000, 320.000000, -94.000000], [-4.895500, 196.117599, -542.257202]]
DATA[540, 0, [0,0,0], [-0.004741, 0.025440, 0.058038], 10, [-0.078453, -0.156906, 10.355823], [-0.053705, -0.248733, 9.731933], [10.000000, 319.000000, -96.000000], [2.937300, 190.113998, -546.341980]]
DATA[600, 0, [0,0,0], [-0.004741, 0.022996, 0.059107], 10, [-0.039227, -0.137293, 10.395049], [-0.063313, -0.211030, 9.717631], [9.000000, 322.000000, -95.000000], [0.000000, 189.113403, -532.045227]]
DATA[660, 0, [0,0,0], [-0.002145, 0.023302, 0.060176], 10, [-0.098067, -0.196133, 10.375436], [-0.063313, -0.253446, 9.746232], [13.000000, 320.000000, -95.000000], [-1.958200, 192.115204, -526.939209]]
DATA[730, 0, [0,0,0], [-0.039561, 0.020095, 0.059413], 10, [-0.058840, -0.196133, 10.355823], [-0.063313, -0.225169, 9.727165], [13.000000, 316.000000, -97.000000], [3.916400, 187.112198, -532.045227]]
DATA[780, 0, [0,0,0], [-0.006574, -0.007242, 0.057122], 10, [-0.078453, -0.176520, -0.058840], [-0.046500, -0.248733, 9.712865], [18.000000, 316.000000, -94.000000], [0.979100, 189.113403, -526.939209]]
DATA[840, 0, [0,0,0], [-0.007643, 0.016124, 0.056817], 10, [-0.098067, -0.196133, -0.137293], [-0.080125, -0.239307, 9.736699], [15.000000, 318.000000, -98.000000], [-1.958200, 195.117004, -526.939209]]
DATA[910, 0, [0,0,0], [-0.002451, 0.023607, 0.056206], 10, [-0.078453, -0.196133, -0.058840], [-0.032089, -0.220456, 9.722398], [16.000000, 318.000000, -98.000000], [4.895500, 195.117004, -538.172424]]
DATA[960, 0, [0,0,0], [-0.038644, 0.025592, 0.060024], 11, [-0.058840, -0.176520, 10.355823], [-0.072920, -0.215743, 9.736699], [14.000000, 317.000000, -98.000000], [4.895500, 200.119995, -542.257202]]
DATA[1020, 0, [0,0,0], [-0.002603, 0.027425, 0.053610], 11, [-0.078453, -0.117680, 10.375436], [-0.041696, -0.206317, 9.703331], [15.000000, 319.000000, -99.000000], [4.895500, 192.115204, -532.045227]]
DATA[1080, 0, [0,0,0], [-0.038644, 0.021927, 0.055595], 11, [-0.039227, -0.294199, 10.355823], [-0.034491, -0.206317, 9.770066], [14.000000, 318.000000, -96.000000], [5.874600, 189.113403, -540.214783]]
DATA[1140, 0, [0,0,0], [-0.034216, 0.023607, 0.058955], 11, [-0.039227, -0.235360, -0.058840], [-0.056107, -0.187466, 9.777217], [17.000000, 318.000000, -97.000000], [-7.832800, 198.118805, -539.193604]]
DATA[1200, 0, [0,0,0], [-0.005810, 0.022080, 0.060024], 11, [-0.039227, -0.176520, 10.355823], [-0.075322, -0.239307, 9.722398], [17.000000, 317.000000, -96.000000], [2.937300, 188.112793, -521.833191]]
DATA[1260, 0, [0,0,0], [-0.001229, 0.028647, 0.057122], 11, [-0.117680, -0.196133, 10.395049], [-0.024884, -0.239307, 9.736699], [13.000000, 317.000000, -98.000000], [2.937300, 188.112793, -530.002808]]
DATA[1320, 0, [0,0,0], [-0.039408, 0.021316, 0.056969], 11, [-0.058840, -0.215746, 10.414662], [-0.072920, -0.267584, 9.741466], [10.000000, 318.000000, -97.000000], [2.937300, 197.118195, -537.151184]]
DATA[1380, 0, [0,0,0], [-0.004283, 0.025287, 0.059260], 11, [-0.098067, -0.156906, -0.039227], [-0.046500, -0.215743, 9.727165], [8.000000, 317.000000, -96.000000], [1.958200, 191.114594, -531.023987]]
DATA[1440, 0, [0,0,0], [-0.006421, 0.023607, 0.055900], 11, [-0.117680, -0.235360, -0.058840], [-0.077723, -0.248733, 9.722398], [6.000000, 321.000000, -92.000000], [-4.895500, 189.113403, -528.981628]]
DATA[1500, 0, [0,0,0], [-0.003978, 0.021927, 0.059413], 11, [-0.078453, -0.117680, -0.078453], [-0.065714, -0.211030, 9.746232], [5.000000, 315.000000, -97.000000], [1.958200, 182.109207, -527.960388]]
DATA[1560, 0, [0,0,0], [-0.036048, 0.026203, 0.057886], 11, [-0.058840, -0.156906, -0.019613], [-0.070518, -0.220456, 9.736699], [6.000000, 322.000000, -95.000000], [1.958200, 189.113403, -533.066406]]
DATA[1620, 0, [0,0,0], [-0.004436, 0.025287, 0.058649], 11, [-0.058840, -0.196133, -0.058840], [-0.075322, -0.234594, 9.727165], [8.000000, 320.000000, -98.000000], [0.000000, 198.118805, -526.939209]]
DATA[1690, 0, [0,0,0], [-0.003367, 0.025898, 0.055748], 11, [-0.176520, -0.254973, -0.078453], [-0.046500, -0.239307, 9.750999], [9.000000, 323.000000, -96.000000], [7.832800, 190.113998, -522.854370]]
DATA[1740, 0, [0,0,0], [-0.005810, 0.023913, 0.055289], 11, [-0.137293, -0.156906, 10.375436], [-0.053705, -0.201604, 9.755766], [16.000000, 319.000000, -100.000000], [13.707400, 187.112198, -535.108826]]
DATA[1810, 0, [0,0,0], [-0.004894, 0.025592, 0.059871], 11, [-0.098067, -0.254973, -0.058840], [-0.077723, -0.215743, 9.736699], [17.000000, 320.000000, -96.000000], [5.874600, 192.115204, -532.045227]]
DATA[1860, 0, [0,0,0], [-0.001687, 0.027425, 0.057886], 11, [-0.058840, -0.176520, -0.019613], [-0.051304, -0.220456, 9.731933], [16.000000, 316.000000, -98.000000], [0.000000, 193.115799, -534.087585]]
DATA[1920, 0, [0,0,0], [-0.001840, 0.025287, 0.059413], 11, [-0.137293, -0.137293, 10.414662], [-0.051304, -0.220456, 9.731933], [18.000000, 319.000000, -98.000000], [1.958200, 191.114594, -537.151184]]
DATA[1980, 0, [0,0,0], [-0.038339, 0.022538, 0.050555], 11, [-0.019613, -0.274586, 10.355823], [-0.063313, -0.229881, 9.712865], [15.000000, 320.000000, -97.000000], [2.937300, 189.113403, -516.727173]]
DATA[2050, 0, [0,0,0], [-0.004741, 0.025134, 0.059260], 11, [-0.078453, -0.254973, -0.039227], [-0.044098, -0.220456, 9.722398], [13.000000, 317.000000, -98.000000], [8.811900, 184.110397, -528.981628]]
DATA[2100, 0, [0,0,0], [-0.038033, 0.026509, 0.060024], 11, [-0.098067, -0.196133, -0.098067], [-0.060911, -0.220456, 9.750999], [16.000000, 319.000000, -103.000000], [4.895500, 188.112793, -530.002808]]
DATA[2160, 0, [0,0,0], [-0.006421, 0.026509, 0.059413], 11, [-0.137293, -0.215746, 10.375436], [-0.077723, -0.201604, 9.708098], [15.000000, 318.000000, -96.000000], [3.916400, 189.113403, -531.023987]]
DATA[2220, 0, [0,0,0], [-0.002298, 0.026356, 0.057580], 11, [0.039227, -0.215746, -0.078453], [-0.036893, -0.206317, 9.722398], [13.000000, 317.000000, -96.000000], [4.895500, 186.111603, -519.790771]]
DATA[2280, 0, [0,0,0], [-0.003214, 0.026356, 0.062620], 11, [-0.039227, -0.254973, -0.078453], [-0.063313, -0.244020, 9.736699], [6.000000, 319.000000, -94.000000], [6.853700, 190.113998, -527.960388]]
DATA[2340, 0, [0,0,0], [-0.004741, 0.025287, 0.060024], 11, [-0.098067, -0.156906, -0.039227], [-0.077723, -0.225169, 9.727165], [6.000000, 318.000000, -93.000000], [5.874600, 194.116394, -517.748413]]
DATA[2400, 0, [0,0,0], [-0.039255, 0.025898, 0.057580], 11, [-0.058840, -0.215746, -0.098067], [-0.051304, -0.244020, 9.712865], [10.000000, 319.000000, -96.000000], [3.916400, 194.116394, -521.833191]]
DATA[2460, 0, [0,0,0], [-0.039561, 0.026203, 0.053151], 11, [-0.019613, -0.215746, -0.078453], [-0.048902, -0.239307, 9.731933], [8.000000, 320.000000, -94.000000], [5.874600, 195.117004, -532.045227]]
DATA[2520, 0, [0,0,0], [-0.003214, -0.009532, 0.057427], 11, [-0.019613, -0.215746, 10.375436], [-0.051304, -0.229881, 9.722398], [8.000000, 318.000000, -97.000000], [0.000000, 189.113403, -528.981628]]
DATA[2590, 0, [0,0,0], [-0.038186, 0.024829, 0.058802], 11, [-0.137293, -0.156906, 10.375436], [-0.058509, -0.225169, 9.727165], [10.000000, 320.000000, -96.000000], [5.874600, 183.109802, -526.939209]]
DATA[2640, 0, [0,0,0], [-0.039408, -0.008005, 0.063078], 11, [-0.058840, -0.235360, 10.179303], [-0.070518, -0.215743, 9.727165], [9.000000, 316.000000, -94.000000], [1.958200, 186.111603, -527.960388]]
DATA[2700, 0, [0,0,0], [-0.037728, 0.023760, 0.059107], 11, [-0.019613, -0.215746, -0.098067], [-0.058509, -0.229881, 9.722398], [11.000000, 320.000000, -97.000000], [0.000000, 190.113998, -532.045227]]
DATA[2770, 0, [0,0,0], [-0.005658, 0.027120, 0.058496], 10, [-0.137293, -0.215746, -0.156906], [-0.046500, -0.201604, 9.689032], [13.000000, 320.000000, -97.000000], [5.874600, 184.110397, -521.833191]]
DATA[2820, 0, [0,0,0], [-0.004741, 0.020400, 0.058496], 10, [-0.019613, -0.196133, 10.375436], [-0.036893, -0.215743, 9.722398], [13.000000, 320.000000, -97.000000], [-1.958200, 184.110397, -524.896790]]
DATA[2880, 0, [0,0,0], [-0.001840, 0.023913, 0.058038], 10, [-0.078453, -0.215746, 10.355823], [-0.053705, -0.225169, 9.750999], [17.000000, 318.000000, -99.000000], [4.895500, 196.117599, -522.854370]]
DATA[2940, 0, [0,0,0], [-0.001534, 0.023149, 0.054373], 10, [-0.098067, -0.196133, -0.098067], [-0.063313, -0.225169, 9.750999], [11.000000, 321.000000, -97.000000], [4.895500, 190.113998, -524.896790]]
DATA[3000, 0, [0,0,0], [-0.005963, 0.021775, 0.054068], 10, [-0.078453, -0.215746, 10.375436], [-0.070518, -0.239307, 9.741466], [16.000000, 319.000000, -99.000000], [2.937300, 189.113403, -535.108826]]
DATA[3060, 0, [0,0,0], [-0.038033, 0.024982, 0.056969], 10, [-0.078453, -0.137293, -0.078453], [-0.041696, -0.229881, 9.741466], [19.000000, 318.000000, -100.000000], [5.874600, 192.115204, -543.278381]]
DATA[3130, 0, [0,0,0], [-0.036964, 0.021622, 0.061704], 10, [-0.098067, -0.196133, -0.058840], [-0.058509, -0.295862, 9.712865], [17.000000, 320.000000, -97.000000], [8.811900, 190.113998, -538.172424]]
DATA[3180, 0, [0,0,0], [-0.005352, 0.020858, 0.058191], 10, [-0.098067, -0.215746, -0.117680], [-0.027286, -0.196891, 9.722398], [18.000000, 317.000000, -100.000000], [2.937300, 187.112198, -536.130005]]
DATA[3240, 0, [0,0,0], [-0.038797, 0.026203, 0.058955], 10, [-0.098067, -0.254973, 10.395049], [-0.058509, -0.215743, 9.746232], [15.000000, 317.000000, -100.000000], [-3.916400, 192.115204, -536.130005]]
DATA[3310, 0, [0,0,0], [-0.005658, 0.018415, 0.060176], 10, [-0.098067, -0.254973, 10.159690], [-0.080125, -0.225169, 9.736699], [14.000000, 316.000000, -98.000000], [7.832800, 186.111603, -525.918030]]
