
Thu Jan  1 00:00:01 1970

Flight Log #13
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000]]
DATA[70, 0, [0,0,0], [-0.019555, -0.008005, 0.068728], 9, [-0.117680, -0.098067, -0.078453], [-0.063313, -0.272297, 9.717631], [43.000000, 325.000000, -89.000000], [45.038601, 182.109207, -528.981628]]
DATA[120, 0, [0,0,0], [-0.014668, 0.023454, 0.062925], 9, [-0.098067, -0.117680, 10.375436], [-0.068116, -0.244020, 9.708098], [41.000000, 326.000000, -91.000000], [50.913200, 187.112198, -532.045227]]
DATA[180, 0, [0,0,0], [-0.012683, 0.029105, 0.064911], 9, [-0.098067, -0.156906, -0.039227], [-0.084929, -0.253446, 9.722398], [43.000000, 325.000000, -90.000000], [50.913200, 182.109207, -538.172424]]
DATA[250, 0, [0,0,0], [-0.006879, 0.025898, 0.064300], 9, [-0.039227, -0.215746, -0.078453], [-0.056107, -0.206317, 9.741466], [39.000000, 325.000000, -85.000000], [55.808701, 181.108597, -526.939209]]
DATA[300, 0, [0,0,0], [-0.016653, 0.027425, 0.067354], 9, [-0.098067, -0.176520, -0.019613], [-0.072920, -0.215743, 9.731933], [43.000000, 328.000000, -90.000000], [46.996799, 183.109802, -526.939209]]
DATA[360, 0, [0,0,0], [-0.009017, 0.022080, 0.065980], 10, [-0.058840, -0.235360, 10.375436], [-0.080125, -0.258159, 9.741466], [45.000000, 325.000000, -89.000000], [47.975899, 187.112198, -524.896790]]
DATA[420, 0, [0,0,0], [-0.013904, 0.023454, 0.065521], 10, [-0.078453, -0.215746, 10.395049], [-0.080125, -0.267584, 9.736699], [43.000000, 329.000000, -88.000000], [43.080399, 180.108002, -532.045227]]
DATA[490, 0, [0,0,0], [-0.015584, 0.027120, 0.061398], 10, [-0.039227, -0.254973, -0.137293], [-0.070518, -0.258159, 9.755766], [43.000000, 324.000000, -91.000000], [48.955002, 174.104401, -528.981628]]
DATA[540, 0, [0,0,0], [-0.013293, 0.021011, 0.066438], 10, [-0.078453, -0.235360, -0.098067], [-0.087330, -0.244020, 9.731933], [48.000000, 327.000000, -91.000000], [40.143101, 181.108597, -531.023987]]
DATA[600, 0, [0,0,0], [-0.015890, 0.021622, 0.063078], 10, [-0.039227, -0.196133, -0.058840], [-0.080125, -0.272297, 9.746232], [50.000000, 327.000000, -91.000000], [48.955002, 177.106201, -525.918030]]
DATA[660, 0, [0,0,0], [-0.016195, 0.022080, 0.066896], 10, [-0.058840, -0.176520, -0.039227], [-0.046500, -0.248733, 9.722398], [54.000000, 325.000000, -89.000000], [48.955002, 185.110992, -518.769592]]
DATA[720, 0, [0,0,0], [-0.013141, 0.025440, 0.062620], 10, [-0.137293, -0.215746, -0.137293], [-0.087330, -0.215743, 9.760532], [48.000000, 326.000000, -88.000000], [50.913200, 175.104996, -537.151184]]
DATA[780, 0, [0,0,0], [-0.014057, 0.026356, 0.063689], 10, [-0.098067, -0.156906, 10.434276], [-0.048902, -0.281723, 9.731933], [52.000000, 322.000000, -91.000000], [51.892300, 191.114594, -525.918030]]
DATA[840, 0, [0,0,0], [-0.008712, 0.027578, 0.067354], 10, [-0.058840, -0.196133, -0.058840], [-0.072920, -0.229881, 9.722398], [53.000000, 325.000000, -93.000000], [41.122200, 190.113998, -511.621185]]
