
Thu Jan  1 00:00:01 1970

Flight Log #1
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000]]
DATA[60, 0, [0,0,0], [-0.013752, 0.018262, 0.000770], 14, [-0.117680, 0.058840, -0.039227], [0.011143, -0.291149, 9.731933], [-172.000000, -134.000000, -21.000000], [-121.408401, -178.106796, -498.345612]]
DATA[110, 0, [0,0,0], [-0.010545, 0.022996, -0.007935], 14, [-0.039227, -0.117680, -0.019613], [-0.022482, -0.291149, 9.722398], [-170.000000, -136.000000, -23.000000], [-126.303902, -176.105606, -494.260803]]
DATA[150, 0, [0,0,0], [-0.011461, 0.020095, -0.002285], 14, [-0.019613, -0.019613, -0.078453], [0.013545, -0.300575, 9.727165], [-172.000000, -140.000000, -21.000000], [-127.282997, -188.112793, -492.218414]]
DATA[190, 0, [0,0,0], [-0.011003, 0.018415, 0.000617], 14, [-0.039227, -0.058840, 10.355823], [0.006339, -0.310000, 9.741466], [-176.000000, -137.000000, -23.000000], [-120.429298, -186.111603, -486.091187]]
DATA[230, 0, [0,0,0], [-0.010086, 0.016582, -0.002437], 14, [-0.117680, 0.019613, -0.019613], [0.001536, -0.262872, 9.717631], [-173.000000, -139.000000, -19.000000], [-126.303902, -183.109802, -496.303192]]
DATA[270, 0, [0,0,0], [-0.012530, 0.016277, -0.003506], 14, [-0.078453, -0.058840, -0.019613], [-0.010473, -0.300575, 9.750999], [-174.000000, -134.000000, -24.000000], [-124.345703, -173.103806, -475.879211]]
DATA[320, 0, [0,0,0], [-0.011308, 0.021622, -0.005797], 14, [-0.098067, -0.098067, -0.039227], [0.049572, -0.248733, 9.731933], [-171.000000, -137.000000, -23.000000], [-123.366600, -185.110992, -496.303192]]
DATA[350, 0, [0,0,0], [-0.013446, 0.020706, -0.005797], 14, [-0.078453, -0.058840, -0.078453], [0.006339, -0.258159, 9.727165], [-170.000000, -139.000000, -20.000000], [-118.471100, -179.107407, -499.366791]]
DATA[400, 0, [0,0,0], [-0.010086, 0.021011, -0.007477], 14, [0.000000, -0.019613, -0.078453], [-0.005670, -0.262872, 9.755766], [-171.000000, -135.000000, -23.000000], [-124.345703, -181.108597, -496.303192]]
DATA[440, 0, [0,0,0], [-0.017722, 0.021622, 0.000159], 14, [-0.019613, -0.019613, -0.098067], [0.003938, -0.305287, 9.741466], [-170.000000, -138.000000, -18.000000], [-121.408401, -190.113998, -491.197205]]
DATA[480, 0, [0,0,0], [-0.016500, 0.019331, -0.000147], 14, [-0.078453, 0.078453, -0.058840], [0.001536, -0.267584, 9.736699], [-172.000000, -142.000000, -21.000000], [-119.450203, -177.106201, -504.472809]]
DATA[520, 0, [0,0,0], [-0.012530, 0.019789, -0.007172], 14, [-0.039227, -0.098067, 10.375436], [-0.027286, -0.258159, 9.746232], [-172.000000, -140.000000, -19.000000], [-127.282997, -180.108002, -498.345612]]
DATA[560, 0, [0,0,0], [-0.006421, 0.017499, -0.001826], 14, [-0.058840, 0.000000, 10.473502], [-0.022482, -0.305287, 9.708098], [-172.000000, -135.000000, -21.000000], [-118.471100, -187.112198, -491.197205]]
DATA[610, 0, [0,0,0], [-0.008712, 0.024218, -0.004270], 14, [-0.019613, 0.039227, 10.355823], [0.023152, -0.281723, 9.727165], [-169.000000, -142.000000, -20.000000], [-125.324799, -181.108597, -494.260803]]
DATA[640, 0, [0,0,0], [-0.011461, 0.016124, -0.005186], 14, [-0.058840, -0.098067, 10.375436], [0.013545, -0.277010, 9.750999], [-169.000000, -142.000000, -20.000000], [-124.345703, -185.110992, -496.303192]]
DATA[690, 0, [0,0,0], [-0.009476, 0.021316, 0.030244], 14, [-0.117680, -0.058840, -0.058840], [0.013545, -0.267584, 9.708098], [-170.000000, -138.000000, -21.000000], [-124.345703, -178.106796, -494.260803]]
DATA[730, 0, [0,0,0], [-0.012224, 0.018873, -0.006103], 14, [-0.039227, -0.019613, -0.019613], [-0.005670, -0.272297, 9.731933], [-174.000000, -138.000000, -23.000000], [-116.512901, -177.106201, -491.197205]]
DATA[770, 0, [0,0,0], [-0.012835, 0.014444, -0.002743], 14, [0.000000, 0.000000, -0.019613], [0.003938, -0.225169, 9.727165], [-172.000000, -139.000000, -19.000000], [-122.387497, -186.111603, -485.070007]]
DATA[810, 0, [0,0,0], [-0.010850, 0.018262, -0.006561], 14, [-0.019613, 0.019613, -0.058840], [0.015947, -0.300575, 9.755766], [-170.000000, -136.000000, -21.000000], [-121.408401, -178.106796, -482.006409]]
DATA[850, 0, [0,0,0], [-0.008865, 0.021316, -0.006561], 14, [0.019613, -0.039227, -0.039227], [0.030357, -0.310000, 9.736699], [-172.000000, -137.000000, -22.000000], [-120.429298, -180.108002, -501.409210]]
DATA[900, 0, [0,0,0], [-0.010392, 0.018109, -0.007630], 14, [0.019613, -0.019613, -0.039227], [-0.022482, -0.277010, 9.727165], [-172.000000, -137.000000, -20.000000], [-126.303902, -178.106796, -502.430389]]
DATA[930, 0, [0,0,0], [-0.009781, 0.021011, -0.004423], 14, [0.019613, -0.019613, -0.039227], [0.003938, -0.234594, 9.741466], [-172.000000, -135.000000, -19.000000], [-114.554703, -172.103195, -498.345612]]
DATA[970, 0, [0,0,0], [-0.006727, 0.019942, -0.004575], 14, [0.058840, 0.019613, 10.042009], [0.018348, -0.286436, 9.789134], [-172.000000, -139.000000, -22.000000], [-121.408401, -178.106796, -495.282013]]
DATA[1020, 0, [0,0,0], [-0.005352, 0.014597, -0.000452], 14, [-0.019613, 0.019613, 10.434276], [-0.003268, -0.267584, 9.760532], [-171.000000, -134.000000, -23.000000], [-120.429298, -185.110992, -495.282013]]
DATA[1060, 0, [0,0,0], [-0.010392, 0.018720, -0.006561], 14, [-0.098067, -0.058840, -0.019613], [0.039965, -0.248733, 9.746232], [-171.000000, -137.000000, -20.000000], [-117.491997, -179.107407, -505.493988]]
DATA[1100, 0, [0,0,0], [-0.008254, 0.020400, -0.003964], 14, [-0.078453, -0.058840, -0.098067], [-0.008071, -0.286436, 9.741466], [-174.000000, -133.000000, -24.000000], [-123.366600, -178.106796, -499.366791]]
DATA[1140, 0, [0,0,0], [-0.009628, 0.019026, -0.002743], 14, [-0.019613, 0.019613, -0.058840], [-0.017678, -0.286436, 9.717631], [-170.000000, -140.000000, -20.000000], [-122.387497, -183.109802, -505.493988]]
DATA[1180, 0, [0,0,0], [-0.009323, 0.019637, -0.008699], 14, [0.000000, -0.058840, 10.355823], [0.013545, -0.239307, 9.703331], [-175.000000, -133.000000, -23.000000], [-121.408401, -178.106796, -498.345612]]
DATA[1220, 0, [0,0,0], [-0.016195, 0.017804, -0.007630], 14, [-0.078453, 0.039227, 10.355823], [0.006339, -0.295862, 9.755766], [-170.000000, -138.000000, -21.000000], [-120.429298, -187.112198, -502.430389]]
DATA[1260, 0, [0,0,0], [-0.010392, 0.020706, -0.005033], 14, [-0.078453, 0.058840, 10.375436], [-0.020080, -0.253446, 9.741466], [-171.000000, -139.000000, -20.000000], [-118.471100, -190.113998, -502.430389]]
DATA[1310, 0, [0,0,0], [-0.011155, 0.019178, -0.008241], 14, [-0.156906, -0.019613, 10.493115], [-0.005670, -0.291149, 9.746232], [-170.000000, -135.000000, -25.000000], [-121.408401, -176.105606, -489.154785]]
DATA[1350, 0, [0,0,0], [-0.012988, 0.013375, -0.008241], 14, [-0.039227, 0.019613, -0.019613], [0.035161, -0.229881, 9.736699], [-171.000000, -139.000000, -23.000000], [-118.471100, -187.112198, -508.557587]]
DATA[1380, 0, [0,0,0], [-0.007948, 0.011390, -0.002132], 14, [-0.078453, 0.000000, 10.375436], [0.020750, -0.272297, 9.736699], [-173.000000, -135.000000, -21.000000], [-119.450203, -176.105606, -491.197205]]
DATA[1440, 0, [0,0,0], [-0.008254, 0.021164, -0.002285], 14, [-0.058840, 0.058840, 10.355823], [-0.017678, -0.277010, 9.712865], [-168.000000, -141.000000, -21.000000], [-119.450203, -182.109207, -499.366791]]
DATA[1480, 0, [0,0,0], [-0.009017, 0.020706, -0.007019], 14, [0.000000, -0.058840, 10.395049], [-0.034491, -0.258159, 9.731933], [-172.000000, -134.000000, -21.000000], [-116.512901, -189.113403, -497.324402]]
DATA[1520, 0, [0,0,0], [-0.015890, 0.018262, -0.001674], 14, [0.000000, 0.000000, 10.355823], [0.020750, -0.286436, 9.750999], [-172.000000, -136.000000, -21.000000], [-123.366600, -182.109207, -494.260803]]
DATA[1560, 0, [0,0,0], [-0.007490, 0.019331, -0.007172], 14, [-0.098067, -0.058840, 10.355823], [0.018348, -0.277010, 9.712865], [-173.000000, -137.000000, -19.000000], [-122.387497, -183.109802, -494.260803]]
DATA[1610, 0, [0,0,0], [-0.011308, 0.019789, -0.002285], 14, [-0.098067, 0.000000, -0.019613], [0.001536, -0.239307, 9.731933], [-170.000000, -137.000000, -22.000000], [-127.282997, -178.106796, -505.493988]]
DATA[1640, 0, [0,0,0], [-0.007185, 0.020858, -0.005033], 14, [-0.039227, 0.000000, -0.058840], [0.018348, -0.281723, 9.722398], [-175.000000, -140.000000, -19.000000], [-123.366600, -182.109207, -500.388000]]
DATA[1680, 0, [0,0,0], [-0.009628, 0.024523, -0.003354], 14, [-0.058840, -0.098067, -0.039227], [0.011143, -0.262872, 9.750999], [-172.000000, -135.000000, -23.000000], [-122.387497, -187.112198, -499.366791]]
DATA[1730, 0, [0,0,0], [-0.010239, 0.019484, -0.001826], 14, [-0.098067, -0.019613, -0.058840], [-0.010473, -0.281723, 9.736699], [-170.000000, -140.000000, -19.000000], [-114.554703, -183.109802, -490.175995]]
DATA[1770, 0, [0,0,0], [-0.014362, 0.016124, -0.004423], 14, [-0.058840, -0.019613, -0.039227], [-0.012875, -0.272297, 9.746232], [-174.000000, -135.000000, -21.000000], [-125.324799, -190.113998, -503.451599]]
DATA[1810, 0, [0,0,0], [-0.010545, 0.017346, -0.004728], 14, [-0.039227, -0.078453, 10.434276], [-0.024884, -0.267584, 9.727165], [-172.000000, -138.000000, -19.000000], [-125.324799, -180.108002, -501.409210]]
DATA[1850, 0, [0,0,0], [-0.007643, 0.018262, -0.006103], 14, [-0.078453, -0.098067, -0.019613], [-0.027286, -0.253446, 9.698565], [-176.000000, -134.000000, -24.000000], [-120.429298, -183.109802, -505.493988]]
DATA[1890, 0, [0,0,0], [-0.005199, 0.018720, -0.006713], 14, [0.000000, 0.000000, 10.355823], [-0.005670, -0.253446, 9.712865], [-170.000000, -138.000000, -18.000000], [-126.303902, -186.111603, -500.388000]]
DATA[1930, 0, [0,0,0], [-0.014057, 0.017651, -0.005033], 14, [-0.039227, -0.019613, -0.098067], [0.020750, -0.253446, 9.708098], [-173.000000, -137.000000, -22.000000], [-125.324799, -184.110397, -501.409210]]
DATA[1970, 0, [0,0,0], [-0.013599, 0.018109, -0.004575], 14, [-0.019613, -0.039227, -0.117680], [0.008741, -0.248733, 9.717631], [-173.000000, -135.000000, -20.000000], [-121.408401, -188.112793, -494.260803]]
DATA[2020, 0, [0,0,0], [-0.010545, 0.026509, -0.006103], 14, [-0.098067, -0.117680, -0.098067], [0.003938, -0.248733, 9.736699], [-170.000000, -139.000000, -21.000000], [-120.429298, -182.109207, -506.515198]]
DATA[2060, 0, [0,0,0], [-0.011766, 0.019484, -0.003048], 14, [0.039227, -0.019613, -0.058840], [0.018348, -0.267584, 9.727165], [-169.000000, -137.000000, -24.000000], [-128.262100, -186.111603, -494.260803]]
DATA[2090, 0, [0,0,0], [-0.005352, 0.020095, -0.005339], 14, [0.058840, -0.039227, 10.414662], [0.001536, -0.277010, 9.736699], [-171.000000, -139.000000, -20.000000], [-121.408401, -180.108002, -499.366791]]
DATA[2140, 0, [0,0,0], [-0.009781, 0.020400, 0.000312], 14, [-0.117680, -0.039227, -0.019613], [0.020750, -0.248733, 9.717631], [-172.000000, -135.000000, -22.000000], [-127.282997, -179.107407, -510.600006]]
