
Thu Jan  1 00:00:01 1970

Flight Log #7
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0, 0, 0]]
DATA[70, 0, [0,0,0], [-0.033147, 0.020095, 0.003671], 13, [-0.137293, -0.098067, 10.159690], [-0.096938, -0.173327, 9.736699], [-21.000000, -75.000000, -81.000000], [-1610612736, 1080580840, 536870912]]
DATA[120, 0, [0,0,0], [-0.001992, 0.025898, 0.005962], 13, [-0.039227, -0.019613, -0.098067], [-0.084929, -0.173327, 9.746232], [-26.000000, -73.000000, -81.000000], [-1073741824, 1080540736, 536870912]]
DATA[190, 0, [0,0,0], [-0.031772, 0.025898, 0.050861], 13, [-0.156906, -0.156906, -0.058840], [-0.072920, -0.163901, 9.708098], [-25.000000, -79.000000, -82.000000], [-1610612736, 1080580840, 0]]
DATA[240, 0, [0,0,0], [-0.003367, 0.019178, 0.009780], 13, [-0.156906, -0.078453, -0.039227], [-0.077723, -0.145050, 9.736699], [-25.000000, -78.000000, -82.000000], [1073741824, 1080556778, -536870912]]
DATA[310, 0, [0,0,0], [-0.001840, 0.021011, 0.009780], 13, [-0.137293, -0.156906, -0.156906], [-0.082527, -0.149762, 9.727165], [-27.000000, -76.000000, -82.000000], [1073741824, 1080596882, 1610612736]]
DATA[370, 0, [0,0,0], [-0.034368, 0.021622, 0.010238], 13, [-0.098067, -0.137293, 10.434276], [-0.058509, -0.178040, 9.722398], [-21.000000, -72.000000, -80.000000], [536870912, 1080564799, 1610612736]]
DATA[430, 0, [0,0,0], [-0.037423, 0.020706, 0.009016], 13, [-0.098067, -0.137293, -0.039227], [-0.053705, -0.192178, 9.731933], [-21.000000, -72.000000, -78.000000], [1073741824, 1080556778, 1610612736]]
DATA[490, 0, [0,0,0], [-0.035743, 0.024218, 0.053762], 13, [-0.156906, -0.156906, -0.039227], [-0.072920, -0.149762, 9.717631], [-20.000000, -74.000000, -82.000000], [-2147483648, 1080548757, -1610612736]]
DATA[550, 0, [0,0,0], [-0.036506, 0.019942, 0.010238], 13, [-0.254973, -0.196133, -0.058840], [-0.077723, -0.154475, 9.727165], [-24.000000, -77.000000, -81.000000], [1073741824, 1080596882, -1610612736]]
DATA[610, 0, [0,0,0], [-0.029481, 0.013528, 0.003824], 13, [-0.137293, -0.156906, -0.137293], [-0.058509, -0.187466, 9.712865], [-21.000000, -78.000000, -84.000000], [0, 1080604903, 1610612736]]
DATA[670, 0, [0,0,0], [-0.032230, 0.023149, 0.050861], 13, [-0.078453, -0.156906, -0.098067], [-0.058509, -0.163901, 9.727165], [-27.000000, -79.000000, -82.000000], [-2147483648, 1080588861, 1610612736]]
DATA[740, 0, [0,0,0], [-0.034368, 0.025592, 0.007031], 13, [-0.117680, -0.156906, -0.039227], [-0.065714, -0.163901, 9.727165], [-25.000000, -77.000000, -83.000000], [-2147483648, 1080588861, -1610612736]]
DATA[800, 0, [0,0,0], [-0.001076, 0.019484, 0.053610], 13, [-0.058840, -0.196133, -0.137293], [-0.041696, -0.140337, 9.755766], [-25.000000, -73.000000, -81.000000], [-1073741824, 1080540736, -1073741824]]
DATA[870, 0, [0,0,0], [-0.032536, 0.022691, 0.007947], 13, [-0.078453, -0.019613, -0.156906], [-0.041696, -0.159188, 9.727165], [-20.000000, -73.000000, -83.000000], [536870912, 1080564799, 0]]
DATA[930, 0, [0,0,0], [-0.031925, 0.015666, 0.052541], 13, [-0.098067, -0.098067, -0.098067], [-0.063313, -0.145050, 9.746232], [-21.000000, -73.000000, -81.000000], [536870912, 1080564799, 1073741824]]
DATA[990, 0, [0,0,0], [-0.033605, 0.022996, 0.007184], 13, [-0.137293, -0.196133, 10.355823], [-0.072920, -0.135624, 9.736699], [-21.000000, -77.000000, -82.000000], [536870912, 1080564799, 1073741824]]
