
Thu Jan  1 00:00:30 1970

Flight Log #9
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000]]
DATA[60, 0, [0,0,0], [-0.029787, 0.020400, 0.008100], 14, [-0.117680, 0.333426, -0.137293], [-0.046500, 0.264971, 9.750999], [-2.000000, -20.000000, -74.000000], [200.715500, -112.067200, -506.515198]]
DATA[120, 0, [0,0,0], [-0.032230, 0.022385, 0.006878], 14, [-0.117680, 0.333426, -0.039227], [-0.048902, 0.253189, 9.731933], [-1.000000, -18.000000, -76.000000], [201.694595, -110.066002, -500.388000]]
DATA[180, 0, [0,0,0], [-0.028107, 0.021927, 0.007642], 14, [-0.176520, 0.372653, 10.395049], [-0.039295, 0.246119, 9.708098], [256.000000, -19.000000, -75.000000], [200.715500, -115.069000, -512.642395]]
DATA[240, 0, [0,0,0], [-0.031467, 0.019942, 0.050555], 14, [-0.078453, 0.431493, -0.098067], [-0.048902, 0.281466, 9.736699], [257.000000, -15.000000, -76.000000], [201.694595, -114.068398, -502.430389]]
DATA[300, 0, [0,0,0], [-0.034521, 0.020247, 0.008406], 14, [-0.058840, 0.353039, -0.039227], [-0.051304, 0.257902, 9.693798], [-1.000000, -13.000000, -72.000000], [199.736404, -113.067802, -504.472809]]
DATA[370, 0, [0,0,0], [-0.034063, 0.022996, 0.010391], 14, [-0.137293, 0.333426, 10.453889], [-0.046500, 0.257902, 9.708098], [256.000000, -14.000000, -72.000000], [194.840897, -110.066002, -490.175995]]
DATA[430, 0, [0,0,0], [-0.031619, 0.020706, 0.007947], 14, [-0.058840, 0.372653, 10.355823], [-0.072920, 0.236694, 9.712865], [-1.000000, -14.000000, -74.000000], [195.820007, -108.064796, -500.388000]]
DATA[490, 0, [0,0,0], [-0.028412, 0.024218, 0.004740], 14, [-0.137293, -0.039227, -0.137293], [-0.080125, 0.239050, 9.717631], [-3.000000, -15.000000, -76.000000], [190.924500, -110.066002, -499.366791]]
DATA[550, 0, [0,0,0], [-0.029023, 0.024371, 0.007642], 14, [-0.156906, 0.353039, 10.375436], [-0.087330, 0.215486, 9.727165], [256.000000, -16.000000, -73.000000], [197.778198, -119.071404, -490.175995]]
DATA[610, 0, [0,0,0], [-0.030703, 0.014139, 0.004740], 14, [-0.058840, 0.313813, 10.375436], [-0.060911, 0.257902, 9.689032], [-1.000000, -18.000000, -77.000000], [196.799103, -115.069000, -508.557587]]
DATA[670, 0, [0,0,0], [-0.027343, 0.019178, 0.008558], 14, [-0.117680, -0.019613, 10.414662], [-0.048902, 0.260258, 9.731933], [-3.000000, -18.000000, -74.000000], [196.799103, -112.067200, -510.600006]]
DATA[730, 0, [0,0,0], [-0.032078, 0.021164, 0.050403], 14, [-0.098067, 0.333426, -0.156906], [-0.051304, 0.262614, 9.750999], [256.000000, -15.000000, -74.000000], [193.861801, -123.073799, -499.366791]]
DATA[790, 0, [0,0,0], [-0.032688, 0.021164, 0.006726], 14, [-0.058840, 0.333426, 10.355823], [-0.060911, 0.241406, 9.708098], [256.000000, -14.000000, -76.000000], [198.757294, -115.069000, -504.472809]]
DATA[850, 0, [0,0,0], [-0.027649, 0.020858, 0.006268], 14, [-0.156906, 0.431493, -0.039227], [-0.046500, 0.286179, 9.703331], [-2.000000, -16.000000, -73.000000], [201.694595, -123.073799, -505.493988]]
DATA[920, 0, [0,0,0], [-0.031467, 0.020400, 0.009780], 14, [-0.137293, 0.353039, -0.058840], [-0.058509, 0.246119, 9.736699], [257.000000, -12.000000, -70.000000], [200.715500, -121.072601, -511.621185]]
DATA[970, 0, [0,0,0], [-0.032078, 0.022996, 0.008100], 14, [-0.176520, 0.372653, -0.058840], [-0.027286, 0.248476, 9.703331], [257.000000, -19.000000, -73.000000], [197.778198, -115.069000, -505.493988]]
DATA[1030, 0, [0,0,0], [-0.035132, 0.025592, 0.010085], 14, [-0.137293, 0.372653, -0.117680], [-0.044098, 0.239050, 9.708098], [-2.000000, -17.000000, -75.000000], [196.799103, -116.069603, -511.621185]]
DATA[1090, 0, [0,0,0], [-0.037423, 0.018568, 0.053762], 14, [-0.137293, 0.313813, 10.355823], [-0.072920, 0.276753, 9.777217], [-4.000000, -20.000000, -75.000000], [199.736404, -119.071404, -502.430389]]
DATA[1150, 0, [0,0,0], [-0.029023, 0.020095, 0.004740], 14, [-0.098067, 0.333426, 10.375436], [-0.060911, 0.229624, 9.717631], [-2.000000, -18.000000, -75.000000], [200.715500, -120.071999, -506.515198]]
DATA[1210, 0, [0,0,0], [-0.026885, 0.021011, 0.006878], 14, [-0.098067, -0.019613, -0.039227], [-0.056107, 0.203703, 9.736699], [-2.000000, -18.000000, -75.000000], [202.673706, -122.073196, -505.493988]]
DATA[1270, 0, [0,0,0], [-0.030703, 0.017040, 0.010085], 14, [-0.156906, 0.392266, 10.159690], [-0.065714, 0.253189, 9.753383], [256.000000, -16.000000, -76.000000], [199.736404, -115.069000, -502.430389]]
DATA[1330, 0, [0,0,0], [-0.029481, 0.023302, 0.009627], 14, [-0.098067, 0.372653, 10.414662], [-0.041696, 0.290892, 9.722398], [-1.000000, -15.000000, -71.000000], [205.610992, -119.071404, -503.451599]]
DATA[1400, 0, [0,0,0], [-0.031619, 0.022385, 0.008558], 14, [-0.176520, 0.313813, -0.019613], [-0.058509, 0.295605, 9.712865], [258.000000, -16.000000, -73.000000], [203.652802, -115.069000, -498.345612]]
DATA[1460, 0, [0,0,0], [-0.031161, 0.022233, 0.006726], 14, [-0.098067, 0.372653, -0.078453], [-0.041696, 0.281466, 9.698565], [-3.000000, -12.000000, -73.000000], [202.673706, -118.070801, -499.366791]]
DATA[1520, 0, [0,0,0], [-0.016653, 0.023302, 0.059871], 14, [-0.078453, -0.156906, 10.453889], [-0.024884, 0.231981, 9.741466], [257.000000, -15.000000, -74.000000], [202.673706, -114.068398, -501.409210]]
DATA[1580, 0, [0,0,0], [-0.005199, 0.025440, 0.058038], 14, [-0.274586, -0.078453, 10.414662], [-0.056107, 0.255545, 9.693798], [-1.000000, -21.000000, -74.000000], [199.736404, -122.073196, -497.324402]]
DATA[1640, 0, [0,0,0], [-0.010545, 0.055983, -0.002437], 14, [-0.019613, -0.019613, -0.058840], [-0.068116, 0.269684, 9.717631], [256.000000, -25.000000, -72.000000], [202.673706, -106.063599, -511.621185]]
DATA[1700, 0, [0,0,0], [0.204633, 0.018568, -0.141256], 14, [-1.176798, -0.137293, -0.117680], [-0.200215, 0.696199, 9.822501], [263.000000, -24.000000, -71.000000], [215.401993, -111.066597, -505.493988]]
DATA[1760, 0, [0,0,0], [-0.012224, 0.005892, 0.029633], 14, [-0.019613, 0.627626, 10.748089], [-0.171393, 0.974259, 9.171833], [-3.000000, -36.000000, -74.000000], [204.631897, -131.078598, -506.515198]]
DATA[1820, 0, [0,0,0], [-0.011766, 0.006350, -0.212728], 14, [-0.039227, -0.156906, 11.120741], [0.724475, 1.758953, 10.892647], [264.000000, -49.000000, -68.000000], [204.631897, -145.087006, -498.345612]]
DATA[1890, 0, [0,0,0], [-0.004436, 0.298497, -0.326043], 14, [-0.137293, 1.941717, -0.117680], [-0.514849, 1.525666, 10.103742], [274.000000, -35.000000, -64.000000], [213.443802, -130.078003, -505.493988]]
DATA[1950, 0, [0,0,0], [-0.003367, -0.007547, -0.487770], 14, [-2.079010, -0.058840, -0.078453], [-1.242593, 0.964833, 10.494619], [280.000000, -8.000000, -66.000000], [214.422897, -109.065399, -494.260803]]
DATA[2010, 0, [0,0,0], [-0.584911, 0.008336, 0.001228], 14, [-1.470998, -0.039227, 9.532063], [-1.413120, 0.795170, 9.069347], [279.000000, 36.000000, -75.000000], [212.464706, -73.043800, -498.345612]]
DATA[2070, 0, [0,0,0], [-0.231067, 0.000394, -0.691799], 14, [-0.823759, -0.156906, -0.156906], [-0.846297, 0.352159, 9.388722], [284.000000, 70.000000, -77.000000], [211.485596, -39.023399, -504.472809]]
DATA[2130, 0, [0,0,0], [0.095746, 0.248406, -0.404845], 14, [-0.117680, 0.333426, -0.156906], [-0.757430, 0.316812, 9.951205], [290.000000, 82.000000, -78.000000], [213.443802, -31.018600, -506.515198]]
DATA[2190, 0, [0,0,0], [-0.016653, 0.171131, 0.005504], 14, [-0.039227, -0.039227, 10.140077], [-1.148923, 0.102377, 8.473498], [290.000000, 99.000000, -82.000000], [223.234802, -11.006600, -512.642395]]
DATA[2250, 0, [0,0,0], [0.009156, -0.005714, 0.006878], 14, [-1.196411, 0.039227, -0.039227], [-0.589305, 0.531248, 10.065607], [294.000000, 117.000000, -83.000000], [225.192993, -3.001800, -513.663574]]
