
Thu Jan  1 00:00:01 1970

Flight Log #6
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0, 0, 0]]
DATA[60, 0, [0,0,0], [-0.037728, 0.022996, 0.057580], 11, [-0.203995, -0.168575, -0.093372], [-0.040678, -0.102891, 9.815358], [206.590103, 74.044403, -907.846802], [269, -2, 289]]
DATA[120, 0, [0,0,0], [-0.009781, 0.021775, 0.060635], 11, [-0.203995, -0.129945, -0.132444], [-0.031107, -0.112463, 9.829716], [206.590103, 77.046204, -909.889221], [268, -8, 291]]
DATA[190, 0, [0,0,0], [-0.008407, 0.021164, 0.062162], 11, [-0.144934, -0.284466, -0.151980], [-0.026321, -0.088534, 9.824930], [209.527405, 68.040802, -913.973999], [265, -10, 278]]
DATA[250, 0, [0,0,0], [-0.006421, 0.022385, 0.058344], 11, [-0.164621, -0.226521, -0.093372], [-0.016750, -0.107677, 9.810573], [210.506500, 67.040199, -911.931580], [262, -4, 283]]
DATA[320, 0, [0,0,0], [-0.001992, 0.024371, 0.062162], 11, [-0.144934, -0.168575, -0.073836], [-0.011964, -0.117248, 9.815358], [207.569199, 66.039597, -913.973999], [262, -7, 285]]
DATA[380, 0, [0,0,0], [-0.008254, 0.023760, 0.058344], 11, [-0.105560, -0.245836, -0.093372], [-0.040678, -0.112463, 9.815358], [206.590103, 72.043198, -912.952820], [268, -8, 285]]
DATA[440, 0, [0,0,0], [-0.007032, 0.024676, 0.060024], 11, [-0.105560, -0.226521, -0.132444], [-0.028714, -0.141177, 9.834501], [203.652802, 69.041397, -911.931580], [268, -5, 283]]
DATA[500, 0, [0,0,0], [-0.010392, 0.022233, 0.060787], 11, [-0.144934, -0.207206, -0.151980], [-0.014357, -0.088534, 9.829716], [206.590103, 74.044403, -907.846802], [259, 0, 290]]
DATA[560, 0, [0,0,0], [-0.010697, 0.024829, 0.059566], 11, [-0.144934, -0.129945, 10.280270], [-0.002393, -0.126820, 9.829716], [208.548294, 72.043198, -907.846802], [266, -12, 282]]
DATA[620, 0, [0,0,0], [-0.007796, 0.018262, 0.060635], 11, [-0.184308, -0.226521, -0.171516], [-0.026321, -0.102891, 9.824930], [204.631897, 70.042000, -908.867981], [269, -15, 294]]
DATA[680, 0, [0,0,0], [-0.038644, 0.014444, 0.057580], 11, [-0.164621, -0.168575, -0.151980], [-0.021535, -0.117248, 9.829716], [206.590103, 70.042000, -910.910400], [265, -4, 303]]
DATA[740, 0, [0,0,0], [-0.007338, 0.020706, 0.065216], 11, [-0.164621, -0.245836, -0.171516], [-0.019143, -0.136391, 9.868001], [206.590103, 68.040802, -912.952820], [258, -4, 292]]
DATA[800, 0, [0,0,0], [-0.004741, 0.019637, 0.054526], 11, [-0.144934, -0.207206, -0.151980], [-0.038285, -0.102891, 9.829716], [205.610992, 65.039001, -912.952820], [266, -7, 298]]
DATA[870, 0, [0,0,0], [-0.003061, 0.021316, 0.058496], 11, [-0.164621, -0.226521, 10.260734], [-0.016750, -0.136391, 9.844072], [207.569199, 70.042000, -912.952820], [263, -12, 296]]
DATA[930, 0, [0,0,0], [-0.003520, 0.022844, 0.058802], 11, [-0.105560, -0.187890, -0.151980], [-0.035892, -0.098106, 9.844072], [207.569199, 74.044403, -909.889221], [262, -4, 292]]
DATA[1000, 0, [0,0,0], [-0.007948, 0.025898, 0.059871], 11, [-0.105560, -0.226521, 10.338878], [-0.033500, -0.112463, 9.810573], [206.590103, 77.046204, -911.931580], [271, 6, 298]]
DATA[1060, 0, [0,0,0], [-0.004894, 0.023607, 0.059566], 11, [-0.184308, -0.265151, -0.112908], [-0.021535, -0.102891, 9.824930], [207.569199, 71.042603, -908.867981], [258, -2, 290]]
DATA[1120, 0, [0,0,0], [-0.006574, 0.024065, 0.058496], 11, [-0.164621, -0.207206, -0.073836], [-0.026321, -0.107677, 9.848858], [207.569199, 68.040802, -909.889221], [260, -6, 284]]
DATA[1180, 0, [0,0,0], [-0.006269, 0.026051, 0.062009], 11, [-0.105560, -0.245836, -0.171516], [-0.043071, -0.112463, 9.815358], [208.548294, 69.041397, -911.931580], [265, -4, 289]]
DATA[1240, 0, [0,0,0], [-0.003520, 0.025134, 0.059718], 11, [-0.164621, -0.245836, -0.093372], [-0.028714, -0.117248, 9.829716], [207.569199, 66.039597, -909.889221], [264, -9, 293]]
DATA[1300, 0, [0,0,0], [-0.003061, 0.025745, 0.061093], 11, [-0.125247, -0.245836, -0.112908], [-0.035892, -0.093320, 9.829716], [207.569199, 71.042603, -909.889221], [260, -10, 288]]
DATA[1360, 0, [0,0,0], [-0.002451, 0.024982, 0.056206], 11, [-0.164621, -0.226521, -0.093372], [-0.023928, -0.098106, 9.824930], [206.590103, 73.043800, -912.952820], [259, -8, 290]]
DATA[1420, 0, [0,0,0], [-0.003978, -0.008769, 0.056817], 11, [-0.184308, -0.245836, -0.151980], [-0.031107, -0.102891, 9.801002], [204.631897, 75.044998, -906.825623], [261, -4, 302]]
DATA[1480, 0, [0,0,0], [-0.007185, 0.022844, 0.054526], 11, [-0.125247, -0.245836, -0.151980], [-0.035892, -0.107677, 9.829716], [205.610992, 74.044403, -910.910400], [273, -12, 296]]
DATA[1550, 0, [0,0,0], [-0.005658, 0.024523, 0.055595], 11, [-0.223681, -0.149260, -0.132444], [-0.026321, -0.136391, 9.815358], [207.569199, 72.043198, -910.910400], [267, -3, 274]]
DATA[1610, 0, [0,0,0], [-0.011308, 0.021927, 0.058802], 11, [-0.144934, -0.226521, -0.132444], [-0.035892, -0.102891, 9.839287], [207.569199, 69.041397, -911.931580], [265, 0, 287]]
DATA[1680, 0, [0,0,0], [-0.005963, 0.021316, 0.059413], 11, [-0.105560, -0.245836, -0.151980], [-0.055035, -0.117248, 9.834501], [207.569199, 66.039597, -914.995178], [269, -6, 289]]
DATA[1740, 0, [0,0,0], [-0.009017, 0.025440, 0.054220], 11, [-0.164621, -0.187890, -0.112908], [-0.028714, -0.107677, 9.801002], [205.610992, 69.041397, -911.931580], [272, -2, 288]]
DATA[1800, 0, [0,0,0], [-0.006116, 0.022538, 0.059107], 11, [-0.125247, -0.245836, -0.112908], [0.007178, -0.102891, 9.820144], [206.590103, 71.042603, -912.952820], [273, -5, 279]]
DATA[1860, 0, [0,0,0], [-0.009323, 0.022385, 0.055900], 11, [-0.164621, -0.168575, -0.112908], [-0.038285, -0.098106, 9.820144], [207.569199, 74.044403, -913.973999], [266, -8, 285]]
DATA[1920, 0, [0,0,0], [-0.008101, 0.024371, 0.055900], 11, [-0.223681, -0.265151, -0.132444], [-0.045464, -0.145962, 9.796216], [206.590103, 71.042603, -912.952820], [267, -5, 290]]
DATA[1980, 0, [0,0,0], [-0.004283, 0.020858, 0.055442], 11, [-0.144934, -0.187890, -0.132444], [-0.009571, -0.126820, 9.824930], [205.610992, 70.042000, -910.910400], [266, -2, 289]]
DATA[2040, 0, [0,0,0], [-0.008865, 0.019484, 0.065980], 11, [-0.144934, -0.168575, 10.299806], [-0.038285, -0.117248, 9.786645], [208.548294, 73.043800, -908.867981], [263, -4, 288]]
DATA[2100, 0, [0,0,0], [-0.006574, 0.024676, 0.058496], 11, [-0.164621, -0.168575, -0.112908], [-0.021535, -0.112463, 9.815358], [206.590103, 67.040199, -910.910400], [267, -1, 293]]
