
Thu Jan  1 00:00:01 1970

Flight Log #11
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[90, 0, [-0.013123,0.011029,-2.223781], [0.310289, -0.019209, -0.009563], 12, [-0.058840, -0.215746, -9.943943], [-0.055866, -0.167633, 5.599902], [27.000000, -1.000000, 590.000000], [-80.286201, -99.059402, -660.716370]]
DATA[130, 0, [-0.017961,0.011754,-2.102187], [0.216641, -0.007295, -0.011777], 14, [-0.058840, -0.274586, -10.042009], [-0.057465, -0.206786, 6.908188], [26.000000, 4.000000, 591.000000], [-68.537003, -111.066597, -649.483215]]
DATA[170, 0, [-0.021389,0.010480,-2.177387], [0.151893, 0.001104, -0.013819], 14, [-0.078453, -0.313813, -9.983170], [-0.070956, -0.238543, 7.799537], [26.000000, 8.000000, 582.000000], [-77.348900, -107.064201, -648.461975]]
DATA[210, 0, [-0.023857,0.008067,-2.196696], [0.109633, 0.006081, -0.016207], 14, [-0.019613, -0.019613, -10.042009], [-0.083760, -0.261194, 8.406036], [29.000000, 8.000000, 593.000000], [-79.307098, -107.064201, -651.525574]]
DATA[250, 0, [-0.025722,0.005311,-2.183736], [0.078604, 0.010239, -0.016387], 14, [0.058840, -0.294199, -0.019613], [-0.091399, -0.279369, 8.830574], [30.000000, 8.000000, 590.000000], [-74.411598, -105.063004, -647.440796]]
DATA[290, 0, [-0.027014,0.002670,-2.211824], [0.057708, 0.012976, -0.017003], 14, [-0.058840, -0.274586, -10.022396], [-0.093916, -0.287585, 9.116293], [30.000000, 5.000000, 593.000000], [-78.328003, -106.063599, -643.356018]]
DATA[330, 0, [-0.027687,0.000251,-2.177152], [0.043871, 0.015620, -0.017667], 14, [-0.019613, -0.274586, -0.019613], [-0.102533, -0.282533, 9.319976], [27.000000, 6.000000, 594.000000], [-74.411598, -110.066002, -643.356018]]
DATA[370, 0, [-0.027932,-0.001827,-2.162113], [0.033514, 0.017543, -0.017752], 14, [0.019613, -0.274586, -10.002783], [-0.100760, -0.283770, 9.456605], [26.000000, 4.000000, 592.000000], [-74.411598, -115.069000, -657.652771]]
DATA[410, 0, [-0.028041,-0.003490,-2.222872], [0.028182, 0.017673, -0.017776], 14, [0.000000, -0.254973, -9.983170], [-0.101294, -0.287694, 9.538929], [29.000000, 11.000000, 591.000000], [-76.369797, -105.063004, -652.546814]]
DATA[450, 0, [-0.028302,-0.004921,-2.151176], [0.024520, 0.017819, -0.019129], 14, [-0.058840, -0.235360, -10.022396], [-0.109049, -0.296258, 9.594065], [25.000000, 6.000000, 591.000000], [-67.557899, -109.065399, -644.377197]]
DATA[490, 0, [-0.028462,-0.006041,-2.105580], [0.020673, 0.018317, -0.018311], 14, [-0.058840, -0.313813, -10.042009], [-0.106089, -0.291431, 9.639711], [23.000000, 1.000000, 591.000000], [-64.620598, -116.069603, -650.504395]]
DATA[530, 0, [-0.028515,-0.006867,-2.209404], [0.018525, 0.019108, -0.018770], 14, [-0.019613, -0.274586, -10.042009], [-0.103949, -0.294329, 9.671966], [29.000000, 1.000000, 589.000000], [-73.432503, -106.063599, -638.250000]]
DATA[570, 0, [-0.028462,-0.007552,-2.198202], [0.017874, 0.019705, -0.018381], 14, [-0.078453, -0.176520, -0.019613], [-0.107151, -0.290125, 9.690763], [26.000000, -1.000000, 592.000000], [-76.369797, -113.067802, -637.228821]]
DATA[610, 0, [-0.028539,-0.008112,-2.205478], [0.014437, 0.019538, -0.018268], 14, [0.078453, -0.294199, -9.983170], [-0.106959, -0.299413, 9.703813], [24.000000, -4.000000, 590.000000], [-71.474297, -105.063004, -650.504395]]
DATA[650, 0, [-0.028553,-0.008528,-2.222786], [0.015382, 0.018532, -0.018916], 14, [-0.019613, -0.274586, -10.042009], [-0.107806, -0.292595, 9.714524], [27.000000, -2.000000, 591.000000], [-75.390701, -107.064201, -649.483215]]
DATA[690, 0, [-0.028514,-0.008756,-2.191139], [0.015466, 0.018377, -0.019714], 14, [-0.019613, -0.196133, -9.983170], [-0.102838, -0.292137, 9.718532], [30.000000, 12.000000, 590.000000], [-70.495201, -107.064201, -643.356018]]
DATA[730, 0, [-0.028476,-0.008856,-2.202030], [0.013976, 0.018085, -0.020428], 14, [0.019613, -0.019613, -10.022396], [-0.100062, -0.293743, 9.721556], [29.000000, -1.000000, 595.000000], [-68.537003, -102.061203, -642.334778]]
DATA[780, 0, [-0.028584,-0.008911,-2.200543], [0.012952, 0.019630, -0.019111], 14, [0.019613, -0.294199, -10.002783], [-0.101098, -0.299943, 9.727444], [29.000000, 4.000000, 589.000000], [-79.307098, -102.061203, -645.398376]]
DATA[810, 0, [-0.028751,-0.008950,-2.258592], [0.013862, 0.019002, -0.018703], 14, [-0.078453, -0.274586, -10.002783], [-0.098396, -0.302554, 9.728671], [32.000000, 9.000000, 592.000000], [-75.390701, -100.059998, -639.271179]]
DATA[850, 0, [-0.028798,-0.009028,-2.192954], [0.014630, 0.019509, -0.018315], 14, [-0.137293, -0.235360, -10.002783], [-0.104786, -0.295951, 9.729705], [28.000000, 9.000000, 589.000000], [-78.328003, -118.070801, -639.271179]]
DATA[890, 0, [-0.028758,-0.009241,-2.220151], [0.014234, 0.019059, -0.017920], 14, [-0.039227, -0.039227, -10.002783], [-0.109642, -0.295072, 9.729784], [28.000000, 7.000000, 594.000000], [-75.390701, -108.064796, -645.398376]]
DATA[930, 0, [-0.028912,-0.009371,-2.253591], [0.014388, 0.017929, -0.018169], 14, [0.058840, -0.274586, -10.022396], [-0.106376, -0.305033, 9.733486], [27.000000, 7.000000, 593.000000], [-78.328003, -105.063004, -643.356018]]
DATA[970, 0, [-0.028991,-0.009347,-2.219168], [0.014344, 0.018892, -0.018488], 14, [-0.058840, -0.274586, -9.983170], [-0.101100, -0.297644, 9.731483], [28.000000, 5.000000, 591.000000], [-74.411598, -107.064201, -648.461975]]
DATA[1010, 0, [-0.028951,-0.009427,-2.225515], [0.013786, 0.018763, -0.018369], 14, [-0.058840, -0.274586, -10.022396], [-0.108917, -0.297079, 9.724070], [27.000000, 5.000000, 589.000000], [-75.390701, -107.064201, -644.377197]]
DATA[1060, 0, [-0.029038,-0.009238,-2.220249], [0.014633, 0.019346, -0.018606], 14, [0.000000, -0.117680, -10.218530], [-0.087987, -0.309123, 9.839084], [29.000000, 6.000000, 591.000000], [-72.453400, -104.062401, -642.334778]]
DATA[1090, 0, [-0.029160,-0.009438,-2.151125], [0.014499, 0.019196, -0.019100], 14, [-0.137293, -0.117680, -10.296983], [-0.133815, -0.302309, 9.738346], [-18.000000, 4.000000, 592.000000], [-67.557899, -112.067200, -644.377197]]
