
Thu Jan  1 00:00:01 1970

Flight Log #12
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[90, 0, [-0.002608,0.005968,-1.973951], [0.310025, 0.006361, -0.010196], 11, [0.098067, 0.000000, -10.022396], [-0.122687, -0.037205, 5.604311], [7.000000, -49.000000, 595.000000], [-71.474297, -164.098404, -656.631592]]
DATA[130, 0, [-0.003341,0.004633,-1.974221], [0.218870, 0.009946, -0.013646], 13, [0.117680, -0.039227, -9.983170], [-0.150190, -0.040179, 6.912060], [8.000000, -54.000000, 595.000000], [-68.537003, -158.094803, -650.504395]]
DATA[170, 0, [-0.003699,0.001665,-1.959041], [0.155159, 0.013059, -0.015700], 13, [0.019613, 0.000000, -10.042009], [-0.176045, -0.043428, 7.797934], [6.000000, -60.000000, 598.000000], [-63.641499, -155.093002, -650.504395]]
DATA[220, 0, [-0.003914,-0.001719,-1.944381], [0.104024, 0.014738, -0.018307], 13, [0.137293, -0.019613, -10.022396], [-0.188849, -0.050686, 8.529264], [10.000000, -45.000000, 592.000000], [-63.641499, -164.098404, -646.419617]]
DATA[250, 0, [-0.004144,-0.005043,-2.014830], [0.082780, 0.016010, -0.019275], 13, [0.117680, -0.098067, -10.002783], [-0.200417, -0.056200, 8.828579], [9.000000, -54.000000, 596.000000], [-70.495201, -152.091202, -652.546814]]
DATA[290, 0, [-0.004225,-0.008042,-1.970832], [0.063583, 0.016741, -0.019902], 13, [0.137293, -0.039227, -9.983170], [-0.203398, -0.051498, 9.110395], [6.000000, -53.000000, 596.000000], [-65.599701, -161.096603, -658.674011]]
DATA[330, 0, [-0.004200,-0.010621,-1.985732], [0.049239, 0.016497, -0.020324], 13, [0.000000, -0.058840, -0.058840], [-0.210981, -0.049142, 9.312775], [9.000000, -53.000000, 593.000000], [-68.537003, -163.097794, -645.398376]]
DATA[370, 0, [-0.004306,-0.012927,-1.990689], [0.039443, 0.017145, -0.021918], 13, [0.117680, -0.078453, -10.002783], [-0.218988, -0.062363, 9.442619], [5.000000, -49.000000, 594.000000], [-65.599701, -156.093597, -658.674011]]
DATA[420, 0, [-0.004483,-0.014737,-2.028833], [0.033651, 0.018538, -0.021464], 13, [0.078453, -0.039227, -10.042009], [-0.215364, -0.058824, 9.557417], [10.000000, -52.000000, 593.000000], [-75.390701, -163.097794, -643.356018]]
DATA[450, 0, [-0.004520,-0.016119,-2.036564], [0.028492, 0.017346, -0.022393], 13, [0.137293, -0.058840, -10.002783], [-0.217570, -0.060343, 9.599631], [7.000000, -50.000000, 595.000000], [-75.390701, -161.096603, -646.419617]]
DATA[490, 0, [-0.004633,-0.017215,-2.009156], [0.025612, 0.017988, -0.022633], 13, [0.117680, -0.039227, -10.022396], [-0.217291, -0.064356, 9.645023], [6.000000, -55.000000, 596.000000], [-68.537003, -158.094803, -650.504395]]
